id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id
0,TGFB1_TGFBR1_TGFBR2,0,342
1,TGFB2_TGFBR1_TGFBR2,1,342
2,TGFB3_TGFBR1_TGFBR2,2,342
3,TGFB1_ACVR1B_TGFBR2,0,343
4,TGFB2_ACVR1B_TGFBR2,1,343
5,TGFB3_ACVR1B_TGFBR2,2,343
6,TGFB1_ACVR1_TGFBR1,0,344
7,TGFB2_ACVR1_TGFBR1,1,344
8,TGFB3_ACVR1_TGFBR1,2,344
9,BMP2_BMPR1A_ACVR2A,3,345
10,BMP2_BMPR1A_ACVR2B,3,346
11,BMP2_BMPR1A_BMPR2,3,347
12,BMP4_BMPR1A_ACVR2A,4,345
13,BMP4_BMPR1A_ACVR2B,4,346
14,BMP4_BMPR1A_BMPR2,4,347
15,BMP5_ACVR1_ACVR2A,5,348
16,BMP5_ACVR1_ACVR2B,5,349
17,BMP5_ACVR1_BMPR2,5,350
18,BMP5_BMPR1A_ACVR2A,5,345
19,BMP5_BMPR1A_ACVR2B,5,346
20,BMP5_BMPR1A_BMPR2,5,347
21,BMP7_ACVR1_ACVR2A,6,348
22,BMP7_ACVR1_ACVR2B,6,349
23,BMP7_ACVR1_BMPR2,6,350
24,BMP7_BMPR1A_ACVR2A,6,345
25,BMP7_BMPR1A_ACVR2B,6,346
26,BMP7_BMPR1A_BMPR2,6,347
27,BMP8B_ACVR1_ACVR2A,7,348
28,BMP8B_ACVR1_ACVR2B,7,349
29,BMP8B_ACVR1_BMPR2,7,350
30,BMP8B_BMPR1A_ACVR2A,7,345
31,BMP8B_BMPR1A_ACVR2B,7,346
32,BMP8B_BMPR1A_BMPR2,7,347
33,GDF10_ACVR1B_ACVR2A,8,351
34,GDF11_TGFBR1_ACVR2A,9,352
35,GDF11_TGFBR1_ACVR2B,9,353
36,GDF11_ACVR1B_ACVR2B,9,354
37,GDF15_TGFBR2,10,202
38,GDNF_GFRA1,11,209
39,NRTN_GFRA2,12,210
40,ARTN_GFRA3,13,211
41,ARTN_GFRA1,13,209
42,INHBA_ACVR1B_ACVR2A,14,351
43,INHBA_ACVR1B_ACVR2B,14,354
44,WNT16_FZD1_LRP5,15,355
45,WNT16_FZD10_LRP5,15,356
46,WNT16_FZD2_LRP5,15,357
47,WNT16_FZD3_LRP5,15,358
48,WNT16_FZD4_LRP5,15,359
49,WNT16_FZD5_LRP5,15,360
50,WNT16_FZD6_LRP5,15,361
51,WNT16_FZD7_LRP5,15,362
52,WNT16_FZD8_LRP5,15,363
53,WNT2B_FZD1_LRP5,16,355
54,WNT2B_FZD10_LRP5,16,356
55,WNT2B_FZD2_LRP5,16,357
56,WNT2B_FZD3_LRP5,16,358
57,WNT2B_FZD4_LRP5,16,359
58,WNT2B_FZD5_LRP5,16,360
59,WNT2B_FZD6_LRP5,16,361
60,WNT2B_FZD7_LRP5,16,362
61,WNT2B_FZD8_LRP5,16,363
62,WNT6_FZD1_LRP5,17,355
63,WNT6_FZD10_LRP5,17,356
64,WNT6_FZD2_LRP5,17,357
65,WNT6_FZD3_LRP5,17,358
66,WNT6_FZD4_LRP5,17,359
67,WNT6_FZD5_LRP5,17,360
68,WNT6_FZD6_LRP5,17,361
69,WNT6_FZD7_LRP5,17,362
70,WNT6_FZD8_LRP5,17,363
71,WNT16_FZD1_LRP6,15,364
72,WNT16_FZD10_LRP6,15,365
73,WNT16_FZD2_LRP6,15,366
74,WNT16_FZD3_LRP6,15,367
75,WNT16_FZD4_LRP6,15,368
76,WNT16_FZD5_LRP6,15,369
77,WNT16_FZD6_LRP6,15,370
78,WNT16_FZD7_LRP6,15,371
79,WNT16_FZD8_LRP6,15,372
80,WNT2B_FZD1_LRP6,16,364
81,WNT2B_FZD10_LRP6,16,365
82,WNT2B_FZD2_LRP6,16,366
83,WNT2B_FZD3_LRP6,16,367
84,WNT2B_FZD4_LRP6,16,368
85,WNT2B_FZD5_LRP6,16,369
86,WNT2B_FZD6_LRP6,16,370
87,WNT2B_FZD7_LRP6,16,371
88,WNT2B_FZD8_LRP6,16,372
89,WNT6_FZD1_LRP6,17,364
90,WNT6_FZD10_LRP6,17,365
91,WNT6_FZD2_LRP6,17,366
92,WNT6_FZD3_LRP6,17,367
93,WNT6_FZD4_LRP6,17,368
94,WNT6_FZD5_LRP6,17,369
95,WNT6_FZD6_LRP6,17,370
96,WNT6_FZD7_LRP6,17,371
97,WNT6_FZD8_LRP6,17,372
98,WNT5A_FZD1,18,212
99,WNT5A_FZD10,18,214
100,WNT5A_FZD2,18,215
101,WNT5A_FZD3,18,216
102,WNT5A_FZD4,18,217
103,WNT5A_FZD5,18,218
104,WNT5A_FZD6,18,219
