id_gene,ensembl,gene_name,hgnc_symbol,protein_name,protein_id
0,ENSG00000163739,CXCL1,CXCL1,CXCL1_HUMAN,0
1,ENSG00000081041,CXCL2,CXCL2,CXCL2_HUMAN,1
2,ENSG00000163734,CXCL3,CXCL3,CXCL3_HUMAN,2
3,ENSG00000163735,CXCL5,CXCL5,CXCL5_HUMAN,3
4,ENSG00000163736,PPBP,PPBP,PPBP_HUMAN,4
5,ENSG00000124875,CXCL6,CXCL6,CXCL6_HUMAN,5
6,ENSG00000169429,CXCL8,CXCL8,CXCL8_HUMAN,6
7,ENSG00000138755,CXCL9,CXCL9,CXCL9_HUMAN,7
8,ENSG00000169245,CXCL10,CXCL10,CXCL10_HUMAN,8
9,ENSG00000169248,CXCL11,CXCL11,CXCL11_HUMAN,9
10,ENSG00000107562,CXCL12,CXCL12,CXCL12_HUMAN,10
11,ENSG00000156234,CXCL13,CXCL13,CXCL13_HUMAN,11
12,ENSG00000161921,CXCL16,CXCL16,CXCL16_HUMAN,12
13,ENSG00000143184,XCL1,XCL1,XCL1_HUMAN,13
14,ENSG00000143185,XCL2,XCL2,XCL2_HUMAN,14
15,ENSG00000006210,CX3CL1,CX3CL1,CX3CL1_HUMAN,15
16,ENSG00000115009,CCL20,CCL20,CCL20_HUMAN,16
17,ENSG00000131142,CCL25,CCL25,CCL25_HUMAN,17
18,ENSG00000102970,CCL17,CCL17,CCL17_HUMAN,18
19,ENSG00000102962,CCL22,CCL22,CCL22_HUMAN,19
20,ENSG00000172724,CCL19,CCL19,CCL19_HUMAN,20
21,ENSG00000137077,CCL21,CCL21,CCL21_HUMAN,21
22,ENSG00000108691,CCL2,CCL2,CCL2_HUMAN,22
23,Unknown00000,CCL4L1,CCL4L1,CCL4L1_HUMAN,23
24,ENSG00000276085,CCL3L3,CCL3L3,CCL3L3_HUMAN,24
25,ENSG00000181374,CCL13,CCL13,CCL13_HUMAN,25
26,ENSG00000108688,CCL7,CCL7,CCL7_HUMAN,26
27,ENSG00000271503,CCL5,CCL5,CCL5_HUMAN,27
28,ENSG00000276409,CCL14,CCL14,CCL14_HUMAN,28
29,ENSG00000275152,CCL16,CCL16,CCL16_HUMAN,29
30,ENSG00000274736,CCL23,CCL23,CCL23_HUMAN,30
31,ENSG00000275718,CCL15,CCL15,CCL15_HUMAN,31
32,ENSG00000108700,CCL8,CCL8,CCL8_HUMAN,32
33,ENSG00000172156,CCL11,CCL11,CCL11_HUMAN,33
34,ENSG00000106178,CCL24,CCL24,CCL24_HUMAN,34
35,ENSG00000006606,CCL26,CCL26,CCL26_HUMAN,35
36,ENSG00000151882,CCL28,CCL28,CCL28_HUMAN,36
37,ENSG00000213927,CCL27,CCL27,CCL27_HUMAN,37
38,ENSG00000136244,IL6,IL6,IL6_HUMAN,38
39,ENSG00000095752,IL11,IL11,IL11_HUMAN,39
40,ENSG00000099985,OSM,OSM,OSM_HUMAN,40
41,ENSG00000128342,LIF,LIF,LIF_HUMAN,41
42,ENSG00000242689,CNTF,CNTF,CNTF_HUMAN,42
43,ENSG00000175505,CLCF1,CLCF1,CLCF1_HUMAN,43
44,ENSG00000150281,CTF1,CTF1,CTF1_HUMAN,44
45,ENSG00000108342,CSF3,CSF3,CSF3_HUMAN,45
46,ENSG00000174697,LEP,LEP,LEP_HUMAN,46
47,ENSG00000113520,IL4,IL4,IL4_HUMAN,47
48,ENSG00000169194,IL13,IL13,IL13_HUMAN,48
49,ENSG00000168811,IL12A,IL12A,IL12A_HUMAN,49
50,ENSG00000110944,IL23A,IL23A,IL23A_HUMAN,50
51,ENSG00000164400,CSF2,CSF2,CSF2_HUMAN,51
52,ENSG00000164399,IL3,IL3,IL3_HUMAN,52
53,ENSG00000113525,IL5,IL5,IL5_HUMAN,53
54,ENSG00000109471,IL2,IL2,IL2_HUMAN,54
55,ENSG00000104432,IL7,IL7,IL7_HUMAN,55
56,ENSG00000145839,IL9,IL9,IL9_HUMAN,56
57,ENSG00000164136,IL15,IL15,IL15_HUMAN,57
58,ENSG00000138684,IL21,IL21,IL21_HUMAN,58
59,ENSG00000145777,TSLP,TSLP,TSLP_HUMAN,59
60,ENSG00000130427,EPO,EPO,EPO_HUMAN,60
61,ENSG00000259384,GH1,GH1,GH1_HUMAN,61
62,ENSG00000136487,GH2,GH2,GH2_HUMAN,62
63,ENSG00000172179,PRL,PRL,PRL_HUMAN,63
64,ENSG00000090534,THPO,THPO,THPO_HUMAN,64
65,ENSG00000145431,PDGFC,PDGFC,PDGFC_HUMAN,65
66,ENSG00000197461,PDGFA,PDGFA,PDGFA_HUMAN,66
67,ENSG00000100311,PDGFB,PDGFB,PDGFB_HUMAN,67
68,ENSG00000241839,PLEKHO2,PLEKHO2,PLEKHO2_HUMAN,68
69,ENSG00000173511,VEGFB,VEGFB,VEGFB_HUMAN,69
70,ENSG00000112715,VEGFA,VEGFA,VEGFA_HUMAN,70
71,ENSG00000165197,VEGFD,VEGFD,VEGFD_HUMAN,71
72,ENSG00000019991,HGF,HGF,HGF_HUMAN,72
73,ENSG00000138798,EGF,EGF,EGF_HUMAN,73
74,ENSG00000184371,CSF1,CSF1,CSF1_HUMAN,74
75,ENSG00000049130,KITLG,KITLG,KITLG_HUMAN,75
76,ENSG00000090554,FLT3LG,FLT3LG,FLT3LG_HUMAN,76
77,ENSG00000197919,IFNA1,IFNA1,IFNA1_HUMAN,77
78,ENSG00000171855,IFNB1,IFNB1,IFNB1_HUMAN,78
79,ENSG00000177047,IFNW1,IFNW1,IFNW1_HUMAN,79
80,ENSG00000147896,IFNK,IFNK,IFNK_HUMAN,80
81,ENSG00000184995,IFNE,IFNE,IFNE_HUMAN,81
82,ENSG00000111537,IFNG,IFNG,IFNG_HUMAN,82
83,ENSG00000136634,IL10,IL10,IL10_HUMAN,83
84,ENSG00000142224,IL19,IL19,IL19_HUMAN,84
85,ENSG00000162891,IL20,IL20,IL20_HUMAN,85
86,ENSG00000162892,IL24,IL24,IL24_HUMAN,86
