id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id
0,nichent-00001,0,688
1,nichent-00002,1,688
2,nichent-00003,2,688
3,nichent-00004,3,688
4,nichent-00005,4,688
5,nichent-00006,5,688
6,nichent-00007,6,688
7,nichent-00008,5,689
8,nichent-00009,6,689
9,nichent-00010,7,690
10,nichent-00011,8,690
11,nichent-00012,9,690
12,nichent-00013,10,691
13,nichent-00014,11,692
14,nichent-00015,12,693
15,nichent-00016,13,694
16,nichent-00017,14,694
17,nichent-00018,15,695
18,nichent-00019,16,696
19,nichent-00020,17,697
20,nichent-00021,18,698
21,nichent-00022,19,698
22,nichent-00023,20,699
23,nichent-00024,21,699
24,nichent-00025,22,700
25,nichent-00026,23,701
26,nichent-00027,24,701
27,nichent-00028,25,700
28,nichent-00029,25,702
29,nichent-00030,26,700
30,nichent-00031,26,703
31,nichent-00032,27,701
32,nichent-00033,27,703
33,nichent-00034,27,702
34,nichent-00035,28,703
35,nichent-00036,29,703
36,nichent-00037,30,703
37,nichent-00038,31,703
38,nichent-00039,31,702
39,nichent-00040,32,702
40,nichent-00041,33,702
41,nichent-00042,34,702
42,nichent-00043,35,702
43,nichent-00044,36,702
44,nichent-00045,36,704
45,nichent-00046,37,704
46,nichent-00047,38,705
47,nichent-00048,38,706
48,nichent-00049,39,707
49,nichent-00050,39,705
50,nichent-00051,40,708
51,nichent-00052,40,705
52,nichent-00053,40,709
53,nichent-00054,41,708
54,nichent-00055,41,705
55,nichent-00056,42,710
56,nichent-00057,42,708
57,nichent-00058,42,705
58,nichent-00059,43,710
59,nichent-00060,43,708
60,nichent-00061,43,705
61,nichent-00062,44,708
62,nichent-00063,44,705
63,nichent-00064,45,711
64,nichent-00065,46,712
65,nichent-00066,47,713
66,nichent-00067,47,714
67,nichent-00068,48,713
68,nichent-00069,48,714
69,nichent-00070,49,715
70,nichent-00071,49,716
71,nichent-00072,50,716
72,nichent-00073,50,717
73,nichent-00074,51,718
74,nichent-00075,51,719
75,nichent-00076,52,720
76,nichent-00077,52,718
77,nichent-00078,53,721
78,nichent-00079,53,718
79,nichent-00080,54,722
80,nichent-00081,54,723
81,nichent-00082,54,724
82,nichent-00083,47,722
83,nichent-00084,55,725
84,nichent-00085,55,722
85,nichent-00086,56,726
86,nichent-00087,56,722
87,nichent-00088,57,722
88,nichent-00089,57,727
89,nichent-00090,57,723
90,nichent-00091,58,722
91,nichent-00092,58,728
92,nichent-00093,59,543
93,nichent-00094,59,725
94,nichent-00095,60,729
95,nichent-00096,61,730
96,nichent-00097,62,730
97,nichent-00098,63,731
98,nichent-00099,64,732
99,nichent-00100,65,733
100,nichent-00101,66,733
101,nichent-00102,66,734
102,nichent-00103,67,733
103,nichent-00104,67,734
104,nichent-00105,68,734
105,nichent-00106,69,735
106,nichent-00107,70,735
107,nichent-00108,70,736
108,nichent-00109,71,736
109,nichent-00110,71,737
110,nichent-00111,72,738
111,nichent-00112,73,739
112,nichent-00113,74,740
113,nichent-00114,75,741
114,nichent-00115,76,742
115,nichent-00116,77,743
116,nichent-00117,77,744
117,nichent-00118,78,743
118,nichent-00119,78,744
119,nichent-00120,79,743
120,nichent-00121,79,744
121,nichent-00122,80,743
122,nichent-00123,80,744
123,nichent-00124,81,743
124,nichent-00125,81,744
125,nichent-00126,82,745
126,nichent-00127,82,746
127,nichent-00128,83,747
128,nichent-00129,83,748
129,nichent-00130,84,749
130,nichent-00131,85,749
131,nichent-00132,85,750
132,nichent-00133,86,749
133,nichent-00134,86,750
134,nichent-00135,87,747
135,nichent-00136,87,750
136,nichent-00137,87,751
137,nichent-00138,88,747
