id_protein,protein_name,protein_multidata_id
0,A2M_HUMAN,0
1,AANAT_HUMAN,1
2,ABCA1_HUMAN,2
3,ACE_HUMAN,3
4,ACE2_HUMAN,4
5,ACP4_HUMAN,5
6,ADAM10_HUMAN,6
7,ADAM11_HUMAN,7
8,ADAM12_HUMAN,8
9,ADAM15_HUMAN,9
10,ADAM17_HUMAN,10
11,ADAM2_HUMAN,11
12,ADAM20_HUMAN,12
13,ADAM21_HUMAN,13
14,ADAM23_HUMAN,14
15,ADAM28_HUMAN,15
16,ADAM29_HUMAN,16
17,ADAM7_HUMAN,17
18,ADAM9_HUMAN,18
19,ADAMTS3_HUMAN,19
20,ADCYAP1_HUMAN,20
21,ADGRB1_HUMAN,21
22,ADGRE5_HUMAN,22
23,ADGRF5_HUMAN,23
24,ADIPOQ_HUMAN,24
25,ADM_HUMAN,25
26,ADM2_HUMAN,26
27,AGRN_HUMAN,27
28,AGRP_HUMAN,28
29,AGT_HUMAN,29
30,AHSG_HUMAN,30
31,AIMP1_HUMAN,31
32,ALB_HUMAN,32
33,ALCAM_HUMAN,33
34,ALKAL1_HUMAN,34
35,ALKAL2_HUMAN,35
36,ALOX5AP_HUMAN,36
37,AMBN_HUMAN,37
38,AMELX_HUMAN,38
39,AMELY_HUMAN,39
40,AMH_HUMAN,40
41,ANG_HUMAN,41
42,ANGPT1_HUMAN,42
43,ANGPT2_HUMAN,43
44,ANGPT4_HUMAN,44
45,ANGPTL1_HUMAN,45
46,ANGPTL2_HUMAN,46
47,ANGPTL3_HUMAN,47
48,ANGPTL4_HUMAN,48
49,ANGPTL5_HUMAN,49
50,ANGPTL6_HUMAN,50
51,ANGPTL7_HUMAN,51
52,ANOS1_HUMAN,52
53,ANPEP_HUMAN,53
54,ANTXR1_HUMAN,54
55,ANXA1_HUMAN,55
56,ANXA2_HUMAN,56
57,APELA_HUMAN,57
58,APLN_HUMAN,58
59,APOA1_HUMAN,59
60,APOA2_HUMAN,60
61,APOA4_HUMAN,61
62,APOA5_HUMAN,62
63,APOB_HUMAN,63
64,APOC1_HUMAN,64
65,APOC2_HUMAN,65
66,APOC3_HUMAN,66
67,APOC4_HUMAN,67
68,APOD_HUMAN,68
69,APOE_HUMAN,69
70,APOO_HUMAN,70
71,APP_HUMAN,71
72,AREG_HUMAN,72
73,ARF1_HUMAN,73
74,ARMH4_HUMAN,74
75,ARTN_HUMAN,75
76,ASIP_HUMAN,76
77,ATP1B1_HUMAN,77
78,AVP_HUMAN,78
79,AZGP1_HUMAN,79
80,B2M_HUMAN,80
81,BACE1_HUMAN,81
82,BACE2_HUMAN,82
83,BCAN_HUMAN,83
84,BDNF_HUMAN,84
85,BGN_HUMAN,85
86,BMP1_HUMAN,86
87,BMP10_HUMAN,87
88,BMP15_HUMAN,88
89,BMP2_HUMAN,89
90,BMP3_HUMAN,90
91,BMP4_HUMAN,91
92,BMP5_HUMAN,92
93,BMP6_HUMAN,93
