	ref_hk
DPM1	3.3567047
SCYL3	2.113943
GCLC	4.039899
BAD	2.3577328
LAP3	4.0331564
M6PR	3.8031387
ALS2	3.09043
RBM5	9.816175
ARF5	3.2283556
POLDIP2	1.6038537
AK2	2.8178966
RBM6	17.042553
ST7	2.5649729
CDC27	8.692493
HCCS	0.55561465
UPF1	2.3432066
SLC25A5	5.3168054
POLR2J	3.2846007
DHX33	1.3310351
LIG3	0.7638717
RPAP3	2.034066
SPPL2B	1.7297851
MSL3	2.1334307
IBTK	6.9983644
ZNF195	1.5946659
FBXL3	5.7250795
PDK2	1.5182835
LAMP2	7.141334
GDE1	2.114991
RALA	5.37271
GGCT	1.4814409
IFRD1	6.5398345
PAF1	1.6344762
ELAC2	1.4251685
ADIPOR2	7.7468786
MARK4	2.8930247
CCDC124	2.0896633
PAFAH1B1	13.259549
TSR3	1.8137342
DNAJC11	2.6254728
PSMB1	7.59447
SYPL1	5.2364745
SPAG9	13.805584
SS18L2	1.8671033
MPND	0.5151523
MED24	1.6282601
SEC62	12.637473
UBE3C	8.549344
VTA1	3.733072
BAZ1B	6.560209
METTL13	0.9097402
ZNF207	11.833516
UQCRC1	2.7467208
NISCH	3.3797476
NME1-NME2	0.027126964
RNF216	7.384218
TTC19	8.528546
LARS2	2.4711108
WIZ	0.9858761
PPP5C	1.9155625
ERCC1	4.488248
MBTPS2	2.1432803
EXTL3	3.555295
UBR7	0.9565251
PSMC4	2.7314599
MAN2B2	2.161824
SLC25A39	1.3975767
NUB1	4.975892
RNF14	2.1687443
HEBP1	3.6965728
UFL1	5.563348
ZC3H3	1.4777508
CAPN1	2.9010434
SLC30A9	6.2415857
COX15	2.2918072
YAF2	6.114039
ZMYND11	8.315576
XYLT2	0.8337523
GLT8D1	2.3442433
ATP2C1	7.714703
RALBP1	5.62682
AGPS	5.4045086
ZRANB1	3.5861146
MNAT1	7.930537
RNF10	5.6256623
RNH1	7.679176
RB1CC1	12.254473
ERP44	7.083533
GLRX2	1.2563686
DERA	5.504248
STRAP	4.1166744
GCLM	3.0765305
UBR2	11.840536
NCAPH2	0.7379865
SEC63	9.273582
IFNGR1	9.369899
B4GALT7	0.755309
VRK2	6.2717805
VEZT	7.1279426
BRD9	3.9180205
BCLAF1	10.059921
TFB1M	2.05512
RABEP1	8.475189
RANBP3	1.7540158
PNPLA6	1.4457455
ABCF2	1.0305649
PIAS1	14.183429
GABARAPL2	5.61767
FAM136A	1.278867
RFC1	6.6214933
TBC1D23	5.5623755
ZZZ3	8.6025
RPL26L1	1.2296648
NSUN2	2.3783019
FBXO42	6.4930754
MFAP3	1.9052677
MRI1	2.0662832
MAT2B	2.4439178
EDC4	0.13217981
PNKP	2.6678557
STAU2	6.6731243
PHF23	0.7732349
PSMA4	5.174876
LSG1	2.5760238
PARP3	0.46768874
THAP3	0.8268754
AP2S1	4.989007
CTNNA1	13.03083
HSPA5	8.086702
GEMIN8	1.5183452
ATP6V1H	5.081628
POLR2B	5.0773296
GOPC	5.5309186
TSPAN17	0.6515136
NOP16	0.9534515
MRPS10	2.094263
FAM120A	8.034759
VAMP3	3.1515334
RFC2	0.91837585
CLPTM1L	2.2051988
JKAMP	3.2145915
LETMD1	3.969249
MAPK9	2.587277
HERPUD1	7.03885
PIK3CB	5.5713825
SIKE1	1.7790596
TTC17	16.0794
AKR7A2	2.0873823
MRTO4	1.6036614
USE1	1.9560536
AP5M1	2.2345948
TRAPPC3	2.408473
THRAP3	11.118558
PHPT1	4.271462
SDCCAG8	13.2755
TBC1D22A	12.245877
NOP58	5.7407327
SZRD1	3.1544096
CUL1	6.5622683
FAM114A2	1.5310555
TAB2	7.542804
GINM1	6.3716674
PUM2	12.2103815
MRPL43	2.7895896
ZFR	11.600577
RC3H2	5.457575
GDI2	7.6695037
ATG5	5.369927
PITHD1	2.7711568
SEC61A1	3.7017756
POLR3E	1.7299768
ZC3H11A	0.15839598
RIOK2	1.6437309
YIPF1	1.2014198
CCAR1	8.381596
OGFR	2.3705616
SNRNP40	2.4722123
MRPS35	2.491357
SFSWAP	6.608121
MON2	14.432833
GPBP1	12.703893
MRPS24	0.24255401
ISOC2	1.4018884
U2AF2	1.7866027
EPN1	2.9587333
MED29	2.1163118
MTMR1	2.796257
HAGH	3.3224752
RNF4	2.932056
TNPO3	5.1472416
RFXANK	1.4893026
TMEM161A	1.1221919
CTSA	3.833828
PMS1	4.031734
HMG20B	2.0209582
TAF11	3.92474
AP3D1	3.6561496
ZNF76	2.1132932
OAT	3.7797441
WDR3	1.4510393
WDR18	0.8040494
NDUFB4	5.9546366
SPEN	7.783407
ZC3H15	6.6456146
ASB1	0.80119175
TBC1D1	4.5101714
CDK13	13.938407
PPP2R5A	7.576525
ELAVL1	3.141923
KDM4A	2.4951603
NFYC	4.0105824
ELOVL1	1.8311956
ZBTB11	2.9121644
GOLGA5	2.7838302
LRRC40	2.5580702
MSANTD3	0.6937786
ATG2B	4.47663
MTFR1	3.748523
FECH	1.1289868
IDI1	3.3728626
STOML1	0.46363673
DHX29	5.4872622
DNTTIP2	3.7093487
RHOA	12.729508
DHX8	2.2799165
IARS2	4.4151464
IDH3G	2.6856287
COASY	1.0621004
MEF2A	17.084543
OTUD5	2.802459
TFE3	2.2567368
INPP5A	2.4616237
GPKOW	0.6776704
GRIPAP1	2.2980146
FTSJ1	0.77402085
LAPTM4A	12.799961
IP6K2	5.320771
SIRT2	3.1871073
ERLEC1	4.596802
PPP2R5B	0.79226416
NUP133	3.4684687
NUCKS1	13.541663
DNAJA2	3.2584014
MAPK6	3.886842
PHRF1	1.8598351
DGCR2	3.1697469
RNF126	1.3718406
JMJD6	2.030905
GBA2	1.6721934
NDST1	2.1947534
EIF2B3	5.873611
CDC42	9.396991
MAP4K4	11.421532
RPL31	13.994275
WDR1	3.6034358
SNX13	8.020531
SEL1L	6.023047
ATP6AP1	2.997479
DAZAP1	3.2542753
MBD3	1.5087212
FAM50A	4.37907
FAM3A	1.7241006
PDCD2	2.8182375
PRKACA	2.5208807
ALDH3A2	4.5724735
AFF4	12.469406
SMC1A	4.0366144
HSD17B10	2.2221959
TRNT1	3.2081153
ACADVL	6.8481727
FBXW11	8.043059
DERL2	2.247107
AP1M1	2.6340628
SDHA	3.309748
SMARCE1	3.0472019
PICALM	17.350344
MRPS34	2.6420922
CLNS1A	5.041987
EED	2.411527
TSG101	5.01083
BCS1L	0.86491215
LMAN1	7.1824903
ARHGEF10L	4.2459583
EIF4G3	15.393596
GRAMD4	1.714056
ZNF638	19.217798
TIMM21	1.0856422
ZNF37A	3.0316408
MARK3	12.722647
SLC25A3	9.427285
TMEM131	8.383438
DLG1	12.801714
RAB7A	11.922901
BCAP29	5.6969533
SART3	2.3356094
EXOSC7	2.0988538
MKRN2	1.4276842
RBM7	1.8556831
PTPN23	1.3424697
MLH1	2.258711
UNG	1.3160466
KLHL20	5.8015656
TOP2B	6.282603
TM9SF3	9.187824
DNAJC10	4.5303154
GTF3C1	2.8086967
USP33	13.583795
SNRPA	2.1704109
SIRT6	0.5686436
CAPZB	12.045101
UBE2A	3.2871819
ARAF	1.1719488
MCCC1	4.6510525
UBE2K	11.607951
PIK3C3	6.24702
PPP2R5C	9.139901
GNB1	12.514186
MLLT10	12.373665
VDAC3	4.8116927
PCM1	16.457703
ITCH	10.477914
SDF4	4.6782775
TOLLIP	1.5092026
UBE2D4	1.0994748
XRCC5	11.766645
MKNK1	4.803923
REXO1	1.3655329
SAR1A	5.413712
CIC	1.1598679
FDFT1	3.233456
DDX1	5.5595074
DNM2	5.348757
SLC35C2	2.095224
RAB21	5.934357
SMARCA2	13.521036
CNOT4	10.940402
PSEN1	6.627766
CPOX	1.1427685
DLGAP4	4.7888384
OSTM1	2.9006944
EXD2	1.4256436
UBA5	2.7888753
ZNF506	2.2411244
JMJD4	0.51634496
WDR70	11.342177
BZW1	6.7550263
ME2	3.7683926
MRPL22	2.490904
GSK3B	10.492466
XPO1	9.202006
RNF13	11.520258
TNPO1	8.330211
PLOD1	1.6583788
DIS3	4.3669214
TDRD3	8.495678
ZNF446	0.45038354
RPS5	12.106014
YTHDC1	9.371782
CHMP2B	3.4629893
PPIE	1.8887285
ZMPSTE24	2.8428826
STARD7	2.9342232
NOA1	1.2498857
REST	4.437813
WBP11	3.483352
EIF3I	4.982152
