	ref_hk
DPM1	1.9398954
SCYL3	0.7822733
GCLC	1.3924727
BAD	1.900188
LAP3	4.632659
M6PR	7.307649
ALS2	0.3409457
RBM5	5.711253
ARF5	8.028294
POLDIP2	1.8791146
AK2	2.802833
RBM6	5.4718146
ST7	0.30903062
CDC27	2.0296252
HCCS	1.1137034
UPF1	1.8280475
SLC25A5	14.7892
POLR2J	6.1778665
DHX33	0.73574823
LIG3	0.8883577
RPAP3	1.9133916
SPPL2B	1.0962069
MSL3	5.042969
IBTK	2.472127
ZNF195	1.2457675
FBXL3	2.7885406
PDK2	0.8146924
LAMP2	5.069087
GDE1	2.800229
RALA	2.8290956
GGCT	1.6205612
IFRD1	5.2827487
PAF1	1.8252872
ELAC2	1.4011384
ADIPOR2	1.9179972
MARK4	0.86153895
CCDC124	3.1345692
PAFAH1B1	6.3952227
TSR3	2.8841078
DNAJC11	0.8121313
PSMB1	13.123928
SYPL1	4.1952486
SPAG9	4.4317975
SS18L2	4.1652026
MPND	0.954519
MED24	1.0089012
SEC62	12.865721
UBE3C	1.8269001
VTA1	1.8970989
BAZ1B	3.926962
METTL13	0.78652096
ZNF207	10.709672
UQCRC1	5.5382533
NISCH	2.237152
NME1-NME2	0.015906367
RNF216	4.3136525
TTC19	3.2903225
LARS2	0.4066105
WIZ	0.53307146
PPP5C	1.2266018
ERCC1	3.1490889
MBTPS2	0.38486135
EXTL3	0.7458903
UBR7	0.8090565
PSMC4	3.6476038
MAN2B2	1.6589558
SLC25A39	4.912348
NUB1	5.572638
RNF14	1.4360929
HEBP1	2.4465332
UFL1	3.0861437
ZC3H3	0.81543815
CAPN1	4.2276664
SLC30A9	1.7077249
COX15	1.1397499
YAF2	2.8807402
ZMYND11	1.8504505
XYLT2	0.38419947
GLT8D1	1.3290261
ATP2C1	1.3517201
RALBP1	6.0601597
AGPS	1.8517785
ZRANB1	1.9522645
MNAT1	1.474427
RNF10	6.593388
RNH1	9.055458
RB1CC1	6.7245154
ERP44	5.1224113
GLRX2	1.1130143
DERA	1.5196683
STRAP	6.5774083
GCLM	1.4821413
UBR2	4.389335
NCAPH2	0.9203573
SEC63	4.3016424
IFNGR1	7.468144
B4GALT7	0.8858007
VRK2	1.3492833
VEZT	1.6684977
BRD9	2.6806552
BCLAF1	13.032658
TFB1M	0.67329186
RABEP1	2.6193025
RANBP3	1.4737732
PNPLA6	2.2979102
ABCF2	0.6219009
PIAS1	6.1697545
GABARAPL2	10.093998
FAM136A	2.47304
RFC1	4.6727448
TBC1D23	1.5758885
ZZZ3	1.1007819
RPL26L1	2.0189114
NSUN2	1.6747628
FBXO42	1.5661231
MFAP3	0.28910598
MRI1	1.1119846
MAT2B	4.9706573
EDC4	0.50981194
PNKP	2.8153515
STAU2	1.3239397
PHF23	1.1703619
PSMA4	7.44897
LSG1	1.7889371
PARP3	0.2810716
THAP3	0.718445
AP2S1	10.71642
CTNNA1	3.3454514
HSPA5	14.79014
GEMIN8	0.4452769
ATP6V1H	2.6375277
POLR2B	4.4698167
GOPC	2.1914284
TSPAN17	0.88633764
NOP16	0.9801002
MRPS10	2.6634667
FAM120A	6.112395
VAMP3	3.635887
RFC2	1.2097219
CLPTM1L	2.7793021
JKAMP	2.1036234
LETMD1	2.7847502
MAPK9	1.4471109
HERPUD1	10.465035
PIK3CB	1.6993887
SIKE1	1.90318
TTC17	4.609601
AKR7A2	2.7701283
MRTO4	1.4490676
USE1	2.1262455
AP5M1	1.7895169
TRAPPC3	3.3859997
THRAP3	9.68988
PHPT1	5.115008
