	ref_hk
DPM1	5.8626103
SCYL3	1.0050302
GCLC	2.267002
BAD	4.10053
LAP3	5.9858866
M6PR	9.951638
ALS2	1.0511813
RBM5	7.3568983
ARF5	13.718883
POLDIP2	5.6073422
AK2	12.051506
RBM6	7.450285
ST7	1.2257683
CDC27	7.2223783
HCCS	3.1166904
UPF1	2.44324
SLC25A5	28.086794
POLR2J	13.667973
DHX33	1.6881117
LIG3	1.7354054
RPAP3	4.5161295
SPPL2B	2.1553771
MSL3	5.573519
IBTK	4.0424438
ZNF195	2.5436373
FBXL3	2.7036457
PDK2	1.8816639
LAMP2	8.13521
GDE1	4.109853
RALA	6.203184
GGCT	9.394052
IFRD1	6.189886
PAF1	4.012999
ELAC2	3.2764375
ADIPOR2	3.9009087
MARK4	0.8903548
CCDC124	9.226132
PAFAH1B1	8.641019
TSR3	1.8369776
DNAJC11	2.3455722
PSMB1	21.085083
SYPL1	9.917373
SPAG9	4.381549
SS18L2	8.050839
MPND	0.8669983
MED24	2.8348162
SEC62	23.358398
UBE3C	1.9143045
VTA1	5.605376
BAZ1B	9.292276
METTL13	2.546588
ZNF207	17.235962
UQCRC1	15.7266245
NISCH	2.3122594
NME1-NME2	0.022605587
RNF216	3.4158695
TTC19	3.0106194
LARS2	0.85614705
WIZ	0.9290189
PPP5C	4.372495
ERCC1	7.803216
MBTPS2	0.75876594
EXTL3	0.6245021
UBR7	3.049346
PSMC4	9.871931
MAN2B2	1.3904842
SLC25A39	12.429306
NUB1	5.901093
RNF14	2.0119617
HEBP1	7.8625746
UFL1	4.652214
ZC3H3	1.6014248
CAPN1	7.4045734
SLC30A9	3.7991128
COX15	2.821766
YAF2	5.8473825
ZMYND11	2.1959388
XYLT2	0.508906
GLT8D1	2.9835577
ATP2C1	3.031476
RALBP1	9.426395
AGPS	4.278099
ZRANB1	2.2170477
MNAT1	4.4626064
RNF10	8.062886
RNH1	11.981538
RB1CC1	6.975225
ERP44	9.144312
GLRX2	4.1013327
DERA	4.503906
STRAP	12.096951
GCLM	3.0659246
UBR2	4.436308
NCAPH2	3.1942737
SEC63	8.563788
IFNGR1	6.2153335
B4GALT7	1.7606978
VRK2	3.4416091
VEZT	3.781301
BRD9	3.462334
BCLAF1	15.349529
TFB1M	2.3307922
RABEP1	5.8595195
RANBP3	3.1814082
PNPLA6	2.389794
ABCF2	1.5651236
PIAS1	8.397021
GABARAPL2	19.296286
FAM136A	6.0910034
RFC1	10.206557
TBC1D23	3.20091
ZZZ3	2.7446682
RPL26L1	6.860642
NSUN2	2.6142688
FBXO42	1.9689167
MFAP3	0.48179215
MRI1	1.4883028
MAT2B	9.307222
EDC4	1.016109
PNKP	4.3083625
STAU2	2.5779743
PHF23	2.6613204
PSMA4	17.769531
LSG1	2.8146443
PARP3	0.22384614
THAP3	2.2136436
AP2S1	22.213692
CTNNA1	5.47681
HSPA5	17.55965
GEMIN8	1.6453515
ATP6V1H	5.141032
POLR2B	6.818802
GOPC	5.7778063
TSPAN17	1.6556307
NOP16	4.525542
MRPS10	6.161548
FAM120A	5.9589314
VAMP3	3.6430137
RFC2	6.603712
CLPTM1L	2.4325666
JKAMP	3.6797392
LETMD1	5.1464734
MAPK9	1.4282385
HERPUD1	10.038952
PIK3CB	2.7378392
SIKE1	3.6457171
TTC17	5.662254
AKR7A2	7.46284
MRTO4	4.2520328
USE1	4.1660175
AP5M1	2.45539
TRAPPC3	7.55149
THRAP3	15.489683
PHPT1	12.4008665
SDCCAG8	5.292005
TBC1D22A	2.7089067
NOP58	11.512268
SZRD1	5.877591
CUL1	4.3359613
FAM114A2	2.3467782
TAB2	3.4945388
GINM1	3.9536173
PUM2	6.3753657
MRPL43	8.100953
ZFR	8.140593
RC3H2	2.5505183
GDI2	22.120274
ATG5	4.5014987
PITHD1	9.047755
SEC61A1	5.7881365
POLR3E	1.7902815
ZC3H11A	0.9132261
RIOK2	3.3397264
YIPF1	1.8890936
CCAR1	11.343955
OGFR	4.978282
SNRNP40	9.373855
MRPS35	7.592113
SFSWAP	5.9214697
MON2	3.1337194
GPBP1	12.625041
MRPS24	5.0344477
ISOC2	5.465728
U2AF2	7.613505
EPN1	6.0317893
MED29	3.1460004
MTMR1	0.8856413
HAGH	7.548425
