	ref_hk
DPM1	4.4568634
SCYL3	0.5038648
GCLC	1.9328238
BAD	4.521048
LAP3	5.3685303
M6PR	5.5978136
ALS2	0.61944634
RBM5	6.123931
ARF5	8.149319
POLDIP2	2.7230155
AK2	8.220687
RBM6	6.9107685
ST7	0.96080124
CDC27	4.056205
HCCS	3.67595
UPF1	3.002726
SLC25A5	23.400784
POLR2J	6.988306
DHX33	1.8444486
LIG3	1.2699188
RPAP3	2.2976298
SPPL2B	0.6654302
MSL3	2.393671
IBTK	4.0585566
ZNF195	1.7985142
FBXL3	3.896157
PDK2	0.7001285
LAMP2	10.828401
GDE1	2.9155498
RALA	7.0854917
GGCT	4.9486947
IFRD1	15.891361
PAF1	3.7508004
ELAC2	1.2676281
ADIPOR2	2.878968
MARK4	1.8038688
CCDC124	7.2591443
PAFAH1B1	11.245612
TSR3	3.488827
DNAJC11	0.9437426
PSMB1	21.744345
SYPL1	14.366382
SPAG9	16.983284
SS18L2	5.6389875
MPND	0.5059739
MED24	2.215311
SEC62	20.381353
UBE3C	2.7715266
VTA1	1.9661541
BAZ1B	4.763482
METTL13	0.57193476
ZNF207	14.224368
UQCRC1	4.6272
NISCH	2.098929
NME1-NME2	0.0015630708
RNF216	3.284849
TTC19	5.903804
LARS2	0.298627
WIZ	1.624209
PPP5C	1.3339196
ERCC1	6.795903
MBTPS2	0.5625505
EXTL3	0.6872903
UBR7	1.2564454
PSMC4	9.061134
MAN2B2	0.8189431
SLC25A39	5.155414
NUB1	6.098805
RNF14	1.5479152
HEBP1	6.2477674
UFL1	2.8538303
ZC3H3	0.9120728
CAPN1	4.737722
SLC30A9	1.7949321
COX15	0.92073035
YAF2	3.9842763
ZMYND11	4.181441
XYLT2	0.48459792
GLT8D1	1.9547013
ATP2C1	3.715841
RALBP1	8.833617
AGPS	1.4683368
ZRANB1	4.342991
MNAT1	3.3731413
RNF10	7.529953
RNH1	13.316215
RB1CC1	11.857913
ERP44	6.381511
GLRX2	2.915789
DERA	1.7943262
STRAP	13.39668
GCLM	8.519748
UBR2	3.3520067
NCAPH2	1.4002109
SEC63	7.1560106
IFNGR1	12.939423
B4GALT7	1.2082112
VRK2	1.5377656
VEZT	5.2916093
BRD9	3.545786
BCLAF1	13.073226
TFB1M	0.6296773
RABEP1	4.8196783
RANBP3	1.6926806
PNPLA6	1.2768445
ABCF2	2.6480365
PIAS1	3.4779432
GABARAPL2	17.336367
FAM136A	2.9454567
RFC1	4.741885
TBC1D23	3.6738362
ZZZ3	1.4819523
RPL26L1	4.6701865
NSUN2	2.1080334
FBXO42	1.2429624
MFAP3	0.36742997
MRI1	0.90240014
MAT2B	2.3587716
EDC4	0.827064
PNKP	2.2176585
STAU2	1.1752534
PHF23	3.1451538
PSMA4	10.643278
LSG1	2.4815075
PARP3	0.54218733
THAP3	1.7735244
AP2S1	11.446254
CTNNA1	11.881513
HSPA5	22.74584
GEMIN8	0.98684716
ATP6V1H	3.3836145
POLR2B	5.2784896
GOPC	3.2472703
TSPAN17	0.80343634
NOP16	5.9506817
MRPS10	4.7904806
FAM120A	6.619192
VAMP3	4.367823
RFC2	1.492273
CLPTM1L	4.0141015
JKAMP	2.3644664
LETMD1	3.1642742
MAPK9	1.5815954
HERPUD1	16.347057
PIK3CB	1.692731
SIKE1	3.1191773
TTC17	4.1120853
AKR7A2	3.386464
MRTO4	5.589842
USE1	3.5699604
AP5M1	1.4483978
TRAPPC3	6.8973436
THRAP3	9.9883585
PHPT1	11.119966
SDCCAG8	2.4858766
TBC1D22A	1.4220269
NOP58	8.40317
SZRD1	5.73216
CUL1	3.7612484
FAM114A2	0.8584891
TAB2	3.926188
GINM1	7.6173525
PUM2	4.7594995
MRPL43	5.5696373
ZFR	6.7446117
RC3H2	2.695093
GDI2	11.185515
ATG5	3.2049491
PITHD1	5.9649525
SEC61A1	6.5355673
POLR3E	2.063645
ZC3H11A	0.29505745
RIOK2	2.0229192
YIPF1	1.3959444
CCAR1	4.9016595
OGFR	4.024783
SNRNP40	3.7413914
MRPS35	3.7914004
SFSWAP	5.4948153
MON2	2.916753
GPBP1	18.762241
MRPS24	10.891836
ISOC2	2.9113417
U2AF2	4.4313087
EPN1	4.1395016
MED29	2.834753
MTMR1	0.8440203
HAGH	3.3970685
RNF4	2.909583
TNPO3	1.7173712
RFXANK	2.3684082
TMEM161A	1.2841264
CTSA	2.4890156
PMS1	0.97585136
HMG20B	4.725817
TAF11	3.5248559
AP3D1	3.8196113
ZNF76	0.8069462
OAT	9.712581
WDR3	1.7355746
WDR18	1.9126021
NDUFB4	18.294073
SPEN	9.381986
ZC3H15	13.644893
ASB1	1.4962654
TBC1D1	3.9463518
CDK13	4.791915
PPP2R5A	2.748766
ELAVL1	5.1677694
KDM4A	0.6235028
NFYC	2.0030327
ELOVL1	3.1554773
ZBTB11	2.8537467
GOLGA5	1.8723164
LRRC40	1.0654107
MSANTD3	5.0683813
ATG2B	1.1865977
MTFR1	1.3554621
FECH	0.50181925
IDI1	8.2826605
STOML1	0.7799181
DHX29	4.2223716
DNTTIP2	11.868226
RHOA	23.825762
DHX8	1.9792196
IARS2	3.150044
IDH3G	4.8621616
COASY	2.3645794
MEF2A	8.183412
OTUD5	2.7730942
TFE3	2.2962186
INPP5A	0.90426075
GPKOW	1.0120093
GRIPAP1	2.0427856
FTSJ1	1.2371377
LAPTM4A	26.796951
IP6K2	6.454421
SIRT2	2.518073
ERLEC1	4.883957
PPP2R5B	1.5917275
NUP133	0.79735917
NUCKS1	18.510088
DNAJA2	10.128082
MAPK6	7.398335
PHRF1	1.8280665
DGCR2	1.2976071
RNF126	5.824095
JMJD6	5.839286
GBA2	1.4860429
NDST1	1.3389492
EIF2B3	1.7205067
CDC42	26.017626
MAP4K4	9.070321
RPL31	31.79472
WDR1	10.03332
SNX13	2.7184277
SEL1L	3.9501665
ATP6AP1	3.9480839
DAZAP1	7.200158
MBD3	2.6535618
FAM50A	6.034937
FAM3A	2.1863456
PDCD2	5.7435346
PRKACA	2.2353034
ALDH3A2	1.9503186
AFF4	12.525085
SMC1A	4.1895447
HSD17B10	5.492875
TRNT1	2.529233
ACADVL	16.638477
FBXW11	4.941523
DERL2	4.724836
AP1M1	1.320981
SDHA	4.925711
SMARCE1	4.7870655
PICALM	7.2194314
MRPS34	5.506371
CLNS1A	5.9448295
EED	2.083272
TSG101	6.3656025
BCS1L	1.0888168
LMAN1	12.993234
ARHGEF10L	1.7275677
EIF4G3	4.548052
GRAMD4	0.62450093
ZNF638	7.7231274
TIMM21	0.67705846
ZNF37A	2.5878658
MARK3	5.6562777
SLC25A3	28.082132
TMEM131	2.288776
DLG1	4.178739
RAB7A	17.675241
BCAP29	7.513468
SART3	2.448374
EXOSC7	3.1996698
MKRN2	1.5517653
RBM7	7.4148474
PTPN23	1.3261361
MLH1	1.0952677
UNG	0.8707314
KLHL20	0.94146496
TOP2B	4.3101587
TM9SF3	12.689374
DNAJC10	4.0187926
GTF3C1	1.7737174
USP33	3.117675
SNRPA	4.506929
SIRT6	0.8991772
CAPZB	13.428551
UBE2A	8.468581
ARAF	1.4287727
MCCC1	0.74185604
UBE2K	8.776538
PIK3C3	1.6947662
PPP2R5C	5.5010834
GNB1	11.695718
MLLT10	1.8406012
VDAC3	5.7236004
PCM1	8.926064
ITCH	3.093694
SDF4	7.3287444
TOLLIP	3.0055294
UBE2D4	1.1474248
XRCC5	13.868187
MKNK1	1.3395503
REXO1	2.088879
SAR1A	9.295508
CIC	2.4683332
FDFT1	6.3304305
DDX1	4.359709
DNM2	2.7697775
SLC35C2	2.0127013
RAB21	13.69862
SMARCA2	5.422166
CNOT4	6.296243
PSEN1	2.669672
CPOX	0.4738864
DLGAP4	5.815003
OSTM1	2.1072612
EXD2	0.7106169
UBA5	2.0509758
ZNF506	2.1093655
