	ref_hk
DPM1	9.536398
SCYL3	6.1642447
GCLC	7.7143993
BAD	4.0304356
LAP3	2.6439126
M6PR	5.4173956
ALS2	18.481647
RBM5	25.329182
ARF5	9.157315
POLDIP2	4.4410286
AK2	5.347038
RBM6	36.55298
ST7	19.507788
CDC27	24.769144
HCCS	1.2281346
UPF1	3.6526833
SLC25A5	6.2189918
POLR2J	0.0
DHX33	2.2445304
LIG3	2.9959822
RPAP3	5.3095636
SPPL2B	9.561741
MSL3	3.4072847
IBTK	24.547132
ZNF195	6.389656
FBXL3	10.354686
PDK2	6.59284
LAMP2	10.886502
GDE1	4.2061796
RALA	13.273918
GGCT	7.5047674
IFRD1	10.835944
PAF1	1.4243053
ELAC2	3.2389503
ADIPOR2	12.02192
MARK4	12.768256
CCDC124	2.9837396
PAFAH1B1	33.330566
TSR3	2.0373554
DNAJC11	10.506631
PSMB1	8.378056
SYPL1	3.0422943
SPAG9	26.357857
SS18L2	5.0736885
MPND	1.4579579
MED24	6.5653415
SEC62	26.197039
UBE3C	23.81444
VTA1	10.282147
BAZ1B	11.7777605
METTL13	1.3407716
ZNF207	21.569569
UQCRC1	8.217808
NISCH	16.586935
NME1-NME2	0.0
RNF216	17.294773
TTC19	27.544224
LARS2	11.048483
WIZ	1.1699768
PPP5C	7.8530607
ERCC1	9.211731
MBTPS2	6.0584717
EXTL3	9.951934
UBR7	2.5425663
PSMC4	3.5872571
MAN2B2	3.6555572
SLC25A39	5.960539
NUB1	5.683487
RNF14	7.6305285
HEBP1	1.6969317
UFL1	9.868596
ZC3H3	4.267576
CAPN1	4.9936495
SLC30A9	19.467789
COX15	0.036932874
YAF2	23.703432
ZMYND11	24.595469
XYLT2	2.5056024
GLT8D1	5.60474
ATP2C1	28.457794
RALBP1	7.4603357
AGPS	15.683096
ZRANB1	9.942502
MNAT1	28.728014
RNF10	15.531231
RNH1	6.8734345
RB1CC1	25.420336
ERP44	16.480612
GLRX2	4.7608685
DERA	3.0265467
STRAP	13.44659
GCLM	9.494532
UBR2	29.279144
NCAPH2	2.9990108
SEC63	16.317017
IFNGR1	6.758356
B4GALT7	1.8781625
VRK2	2.5328732
VEZT	30.963614
BRD9	4.881701
BCLAF1	18.146772
TFB1M	10.841333
RABEP1	28.30544
RANBP3	3.9727418
PNPLA6	6.4161716
ABCF2	3.9483
PIAS1	29.831955
GABARAPL2	14.121126
FAM136A	3.3870618
RFC1	9.067962
TBC1D23	13.8194
ZZZ3	24.556328
RPL26L1	1.7738699
NSUN2	8.786484
FBXO42	19.528713
MFAP3	12.773022
MRI1	11.594552
MAT2B	4.023978
EDC4	3.9131784
PNKP	4.0784717
STAU2	36.086212
PHF23	1.0329919
PSMA4	6.239384
LSG1	3.3540177
PARP3	0.71181804
THAP3	1.6028388
AP2S1	6.3348074
CTNNA1	13.877928
HSPA5	7.521232
GEMIN8	4.5299115
ATP6V1H	27.545881
POLR2B	10.152527
GOPC	10.798179
TSPAN17	3.313502
NOP16	1.0708437
MRPS10	3.162804
FAM120A	20.10428
VAMP3	2.9946115
RFC2	1.2850155
CLPTM1L	4.6404767
JKAMP	10.401735
LETMD1	8.076446
MAPK9	17.269672
HERPUD1	9.570581
PIK3CB	21.936916
SIKE1	4.2802258
TTC17	31.22934
AKR7A2	2.4572055
MRTO4	3.6947289
USE1	3.802405
AP5M1	9.702297
TRAPPC3	5.993771
THRAP3	20.424973
PHPT1	4.2054257
SDCCAG8	30.784124
TBC1D22A	21.83339
NOP58	13.838498
SZRD1	3.1031132
CUL1	20.601458
FAM114A2	3.3856907
TAB2	18.980665
