	ref_hk
DPM1	4.4907207
SCYL3	0.73094547
GCLC	1.0935888
BAD	6.650641
LAP3	4.195604
M6PR	4.2969804
ALS2	0.3830591
RBM5	4.300802
ARF5	9.321887
POLDIP2	3.959351
AK2	7.003463
RBM6	4.3512354
ST7	0.7066788
CDC27	1.8792577
HCCS	2.0894887
UPF1	1.454694
SLC25A5	21.856
POLR2J	10.639888
DHX33	0.8741592
LIG3	0.8768517
RPAP3	1.6066145
SPPL2B	1.7638388
MSL3	1.5645299
IBTK	2.3222287
ZNF195	1.313257
FBXL3	2.295952
PDK2	2.8297646
LAMP2	4.4046383
GDE1	3.9906564
RALA	5.4466105
GGCT	5.8938227
IFRD1	8.317411
PAF1	2.3091893
ELAC2	1.3583716
ADIPOR2	2.1251009
MARK4	0.85876304
CCDC124	5.233275
PAFAH1B1	4.86061
TSR3	3.1023126
DNAJC11	1.2754853
PSMB1	18.01598
SYPL1	7.3016853
SPAG9	4.8885703
SS18L2	4.509225
MPND	1.3795127
MED24	1.6434435
SEC62	15.542307
UBE3C	1.3395957
VTA1	2.1503785
BAZ1B	3.8819282
METTL13	1.0149693
ZNF207	8.415296
UQCRC1	10.971966
NISCH	1.6088281
NME1-NME2	0.28130078
RNF216	1.8707347
TTC19	4.316025
LARS2	0.41552183
WIZ	0.80890214
PPP5C	1.9808484
ERCC1	4.9533086
MBTPS2	0.5698331
EXTL3	0.48708847
UBR7	0.9266923
PSMC4	5.700139
MAN2B2	0.61091727
SLC25A39	6.9729023
NUB1	2.6315134
RNF14	1.2562602
HEBP1	5.472507
UFL1	3.0988677
ZC3H3	0.69103914
CAPN1	4.48708
SLC30A9	2.4673808
COX15	1.2300454
YAF2	2.6168048
ZMYND11	2.2955587
XYLT2	0.5380109
GLT8D1	3.3223288
ATP2C1	1.7979133
RALBP1	6.030842
AGPS	1.8790983
ZRANB1	1.6914723
MNAT1	2.198828
RNF10	3.9970598
RNH1	8.82898
RB1CC1	4.1642
ERP44	6.0134945
GLRX2	2.0094805
DERA	3.777721
STRAP	8.7466955
GCLM	1.6436338
UBR2	1.4818739
NCAPH2	1.6233872
SEC63	5.6071844
IFNGR1	3.736294
B4GALT7	2.1722941
VRK2	0.8681125
VEZT	2.9081872
BRD9	2.5058167
BCLAF1	8.721435
TFB1M	1.1548766
RABEP1	2.2039864
RANBP3	1.8261077
PNPLA6	0.8934186
ABCF2	0.96396565
PIAS1	2.9466865
GABARAPL2	13.034948
FAM136A	4.6785994
RFC1	4.9181776
TBC1D23	1.5988667
ZZZ3	1.6489968
RPL26L1	5.284455
NSUN2	1.1441803
FBXO42	0.92750466
MFAP3	0.25963762
MRI1	1.0215629
MAT2B	3.0871975
EDC4	0.05480016
PNKP	2.5237043
STAU2	1.5418252
PHF23	2.6061456
PSMA4	12.876511
LSG1	1.3418422
PARP3	0.44919172
THAP3	1.271224
AP2S1	13.360883
CTNNA1	7.65635
HSPA5	20.44658
GEMIN8	1.0490495
ATP6V1H	2.308854
POLR2B	2.8306189
GOPC	4.2706957
TSPAN17	1.3519862
NOP16	2.6590626
MRPS10	3.3422318
FAM120A	4.648211
VAMP3	3.5374515
RFC2	2.341711
CLPTM1L	2.5581362
JKAMP	2.776671
LETMD1	4.3052945
MAPK9	1.070747
HERPUD1	17.509726
