	ref_hk
DPM1	3.226761
SCYL3	1.7006149
GCLC	2.8356688
BAD	2.0118766
LAP3	1.1582105
M6PR	3.9614477
ALS2	4.9201856
RBM5	8.631388
ARF5	2.4272723
POLDIP2	1.8283341
AK2	4.2634377
RBM6	21.1125
ST7	7.425495
CDC27	9.4859085
HCCS	0.47581434
UPF1	1.5187564
SLC25A5	4.1412354
POLR2J	1.740811
DHX33	1.2212127
LIG3	1.4643743
RPAP3	2.460423
SPPL2B	3.1851673
MSL3	0.84815454
IBTK	10.670337
ZNF195	2.1575344
FBXL3	2.4608178
PDK2	1.3264896
LAMP2	3.6152985
GDE1	1.144301
RALA	4.3459644
GGCT	2.2183664
IFRD1	3.8391557
PAF1	0.8592204
ELAC2	1.406173
ADIPOR2	4.30994
MARK4	6.399654
CCDC124	1.307747
PAFAH1B1	20.607122
TSR3	1.1316063
DNAJC11	4.732157
PSMB1	5.29783
SYPL1	1.3276443
SPAG9	14.489235
SS18L2	1.9111433
MPND	0.45742932
MED24	2.6218243
SEC62	14.797402
UBE3C	11.971968
VTA1	2.8066385
BAZ1B	7.3167048
METTL13	0.50552636
ZNF207	12.942219
UQCRC1	3.6091838
NISCH	4.165162
NME1-NME2	0.5074893
RNF216	8.582362
TTC19	12.638771
LARS2	3.6975224
WIZ	0.5014396
PPP5C	2.3911285
ERCC1	3.5093606
MBTPS2	2.5515714
EXTL3	3.3282137
UBR7	1.8122675
PSMC4	2.585586
MAN2B2	1.2865026
SLC25A39	1.7467895
NUB1	4.055791
RNF14	2.6492698
HEBP1	1.5332686
UFL1	6.691017
ZC3H3	1.5816897
CAPN1	3.18393
SLC30A9	9.944128
COX15	2.2029824
YAF2	10.538796
ZMYND11	9.328133
XYLT2	1.7314087
GLT8D1	2.2615929
ATP2C1	12.000249
RALBP1	3.8835542
AGPS	5.11197
ZRANB1	3.4068387
MNAT1	15.612924
RNF10	6.3737864
RNH1	5.2422037
RB1CC1	12.904111
ERP44	5.531594
GLRX2	0.81213796
DERA	4.3228097
STRAP	6.330929
GCLM	2.5721266
UBR2	15.366239
NCAPH2	0.8148497
SEC63	6.3884883
IFNGR1	2.7050788
B4GALT7	0.59661853
VRK2	1.0423064
VEZT	13.759406
BRD9	3.8662665
BCLAF1	9.055247
TFB1M	5.8563023
RABEP1	12.173905
RANBP3	2.308374
PNPLA6	1.7531915
ABCF2	1.0654081
PIAS1	16.022251
GABARAPL2	8.811952
FAM136A	1.11655
RFC1	6.537336
TBC1D23	4.5771894
ZZZ3	10.092402
RPL26L1	1.0312569
NSUN2	2.3078709
FBXO42	10.020494
MFAP3	2.0243688
MRI1	1.7784576
MAT2B	1.6455207
EDC4	0.83133954
PNKP	2.3667161
STAU2	14.7090025
PHF23	0.6219949
PSMA4	3.0427244
LSG1	1.5469115
PARP3	0.20783769
THAP3	0.8591257
AP2S1	2.7351155
CTNNA1	5.5141973
HSPA5	4.144642
GEMIN8	1.8939306
ATP6V1H	8.284345
POLR2B	5.6315665
GOPC	5.5482726
TSPAN17	1.2947109
NOP16	0.32162017
MRPS10	2.3095374
FAM120A	6.0271587
VAMP3	1.2110225
RFC2	1.0379857
CLPTM1L	0.9828707
JKAMP	2.9199634
LETMD1	2.804741
MAPK9	5.6589537
HERPUD1	4.977813
PIK3CB	7.745631
SIKE1	1.4909853
TTC17	17.04911
AKR7A2	2.1195784
MRTO4	1.0393752
USE1	1.2873819
AP5M1	2.5613616
TRAPPC3	2.424478
THRAP3	10.503923
PHPT1	2.7844067
SDCCAG8	14.27623
TBC1D22A	10.355337
NOP58	6.1095514
SZRD1	1.686718
CUL1	9.657164
FAM114A2	1.40492
TAB2	5.9480343
GINM1	4.5229344
PUM2	23.65712
MRPL43	2.3441334
ZFR	10.902411
RC3H2	4.7612095
GDI2	6.0079556
ATG5	4.846085
PITHD1	3.6395755
SEC61A1	1.6776404
POLR3E	2.4860065
ZC3H11A	1.2308612
RIOK2	1.392582
YIPF1	0.95181984
CCAR1	7.7160325
OGFR	4.9178343
SNRNP40	4.8892307
MRPS35	2.6509352
SFSWAP	6.4838543
MON2	16.334755
GPBP1	16.205898
MRPS24	2.425834
ISOC2	0.79506284
U2AF2	2.1550913
EPN1	2.2007575
MED29	1.4715985
MTMR1	3.92438
HAGH	6.938074
RNF4	3.20801
TNPO3	5.509719
RFXANK	0.6012226
TMEM161A	1.2523175
CTSA	2.937604
