	ref_hk
DPM1	2.2667747
SCYL3	0.92807096
GCLC	1.594236
BAD	1.1548964
LAP3	3.2732692
M6PR	2.4072948
ALS2	2.4542441
RBM5	3.7997687
ARF5	1.5143248
POLDIP2	1.2993613
AK2	2.51174
RBM6	11.778808
ST7	9.253557
CDC27	5.680943
HCCS	0.4731997
UPF1	0.75251937
SLC25A5	3.9434872
POLR2J	1.824933
DHX33	0.591815
LIG3	0.54983586
RPAP3	0.89760035
SPPL2B	1.1632957
MSL3	0.61110634
IBTK	5.9922566
ZNF195	0.7551214
FBXL3	2.2101924
PDK2	1.2018317
LAMP2	2.539283
GDE1	0.72988886
RALA	4.065517
GGCT	0.7431585
IFRD1	4.164411
PAF1	0.51636565
ELAC2	0.83516663
ADIPOR2	3.6135392
MARK4	1.8105749
CCDC124	1.1696968
PAFAH1B1	8.949992
TSR3	0.7898685
DNAJC11	2.9772565
PSMB1	5.0120316
SYPL1	3.234657
SPAG9	5.983334
SS18L2	1.1530511
MPND	0.2201346
MED24	1.3735263
SEC62	6.9030027
UBE3C	4.7529325
VTA1	1.4400234
BAZ1B	3.2006538
METTL13	0.30805954
ZNF207	6.559345
UQCRC1	3.651271
NISCH	1.9550143
NME1-NME2	0.014694538
RNF216	5.3830814
TTC19	5.8850174
LARS2	2.365086
WIZ	0.4046961
PPP5C	1.618577
ERCC1	2.0788465
MBTPS2	1.1789562
EXTL3	2.27845
UBR7	0.4868447
PSMC4	1.9292088
MAN2B2	0.5230737
SLC25A39	1.3094493
NUB1	1.546025
RNF14	1.6945518
HEBP1	1.1723806
UFL1	2.713407
ZC3H3	0.822296
CAPN1	1.76175
SLC30A9	3.9734437
COX15	0.99988157
YAF2	7.587983
ZMYND11	4.0691624
XYLT2	0.9112487
GLT8D1	0.9220508
ATP2C1	5.9339175
RALBP1	2.060046
AGPS	2.3833466
ZRANB1	1.7067525
MNAT1	6.0332036
RNF10	4.6873007
RNH1	4.0225463
RB1CC1	5.7392354
ERP44	3.1388407
GLRX2	0.8119582
DERA	2.1889212
STRAP	3.4339917
GCLM	1.4993831
UBR2	7.388567
NCAPH2	0.40031907
SEC63	3.558365
IFNGR1	5.4437985
B4GALT7	0.4262273
VRK2	4.1506066
VEZT	5.841526
BRD9	1.9761233
BCLAF1	3.991528
TFB1M	2.8017437
RABEP1	5.6203966
RANBP3	0.91438335
PNPLA6	0.5301694
ABCF2	0.1836499
PIAS1	8.383569
GABARAPL2	4.169508
FAM136A	0.8905465
RFC1	2.5054345
TBC1D23	2.364167
ZZZ3	5.2490263
RPL26L1	0.9122281
NSUN2	1.1179575
FBXO42	4.878732
MFAP3	1.6174718
MRI1	0.9489388
MAT2B	1.0612861
EDC4	0.04504077
PNKP	2.2775147
STAU2	5.0499535
PHF23	0.5058712
PSMA4	3.535653
LSG1	0.9806517
PARP3	0.264169
THAP3	0.48304215
AP2S1	2.4562516
CTNNA1	10.843351
HSPA5	4.3780384
GEMIN8	0.517558
ATP6V1H	2.7190368
POLR2B	3.9680643
GOPC	2.1229413
TSPAN17	0.35454062
NOP16	0.78765553
MRPS10	1.5019768
FAM120A	3.8600032
VAMP3	1.245084
RFC2	0.5078746
CLPTM1L	0.8248736
JKAMP	1.6790441
LETMD1	1.3386941
MAPK9	1.4177809
HERPUD1	3.925013
PIK3CB	3.5681632
SIKE1	1.1368946
TTC17	10.165261
AKR7A2	0.8240571
MRTO4	0.7897252
USE1	1.1353171
AP5M1	1.4897289
TRAPPC3	1.7603593
THRAP3	9.03587
PHPT1	3.9827955
SDCCAG8	7.147518
TBC1D22A	4.726868
NOP58	2.9595
SZRD1	1.6232836
CUL1	3.9013455
FAM114A2	0.93500304
TAB2	3.1690502
GINM1	2.657866
PUM2	6.5714264
MRPL43	1.5139834
ZFR	6.6467237
RC3H2	2.742512
GDI2	3.7139263
ATG5	2.5323503
PITHD1	1.291152
SEC61A1	1.932333
POLR3E	1.0615406
ZC3H11A	0.03719651
RIOK2	0.8447076
YIPF1	0.54680026
CCAR1	4.0092316
OGFR	1.270038
SNRNP40	2.0123966
MRPS35	1.6685373
SFSWAP	2.9786613
MON2	6.916166
GPBP1	7.808694
MRPS24	0.026567068
ISOC2	0.9870371
U2AF2	1.0425844
EPN1	1.4088175
MED29	1.1566747
MTMR1	1.390192
HAGH	2.9918709
RNF4	1.942925
TNPO3	2.3426933
RFXANK	0.8413144
TMEM161A	1.174047
CTSA	1.5169481
PMS1	1.8533089
HMG20B	1.0242461
TAF11	2.176283
AP3D1	2.0188167
ZNF76	2.932641
OAT	1.6249539
WDR3	0.6885664
WDR18	0.74632233
NDUFB4	4.6634674
SPEN	3.6666641
ZC3H15	3.0342846
ASB1	0.62097764
TBC1D1	7.034916
CDK13	7.582071
PPP2R5A	4.779004
ELAVL1	2.5905209
KDM4A	0.12656522
NFYC	4.3376265
ELOVL1	0.8111703
ZBTB11	1.2528834
GOLGA5	1.2821324
LRRC40	1.2902291
MSANTD3	0.4707364
ATG2B	1.6794006
MTFR1	7.336768
FECH	0.4450195
IDI1	1.6608951
STOML1	0.42270952
DHX29	3.4110801
DNTTIP2	1.2725679
RHOA	6.9200983
DHX8	1.2211913
IARS2	1.6010003
IDH3G	1.5051844
COASY	0.7092651
MEF2A	15.864485
OTUD5	1.2226167
TFE3	0.62853587
INPP5A	2.4395237
GPKOW	0.46999687
GRIPAP1	1.0991248
FTSJ1	0.44854146
LAPTM4A	6.4654827
IP6K2	2.85358
SIRT2	1.9316578
ERLEC1	1.7224611
PPP2R5B	0.8798725
NUP133	1.9864593
NUCKS1	6.976317
DNAJA2	1.5058857
MAPK6	2.4991033
PHRF1	0.7878243
DGCR2	1.9879606
RNF126	1.2939875
JMJD6	1.496022
GBA2	2.5545177
NDST1	1.0717483
EIF2B3	3.8599641
CDC42	6.138397
MAP4K4	7.946243
RPL31	7.593461
WDR1	2.3495333
SNX13	4.0395336
SEL1L	1.9932795
ATP6AP1	1.3495121
DAZAP1	1.821411
MBD3	0.6114699
FAM50A	1.6900603
FAM3A	1.2143687
PDCD2	1.5797883
PRKACA	2.5890896
ALDH3A2	1.1454517
AFF4	7.239644
SMC1A	2.0780008
HSD17B10	1.4059862
TRNT1	1.9940145
ACADVL	8.694418
FBXW11	5.630961
DERL2	1.1409026
AP1M1	1.3103045
SDHA	5.504165
SMARCE1	0.46982896
PICALM	9.559899
MRPS34	1.765212
CLNS1A	2.5570674
EED	0.9156772
TSG101	2.6364474
BCS1L	0.65075976
LMAN1	2.7056618
ARHGEF10L	3.7872124
EIF4G3	8.281453
GRAMD4	2.1213815
ZNF638	16.030788
TIMM21	1.1713258
ZNF37A	0.31925014
MARK3	11.58481
SLC25A3	6.772905
TMEM131	5.242493
DLG1	8.653431
RAB7A	9.100614
BCAP29	4.750319
SART3	1.1397629
EXOSC7	1.384252
MKRN2	1.7380896
RBM7	0.6312089
PTPN23	0.61757165
MLH1	2.2127445
UNG	0.46774533
KLHL20	2.5470076
TOP2B	3.6441402
TM9SF3	4.0841036
DNAJC10	2.1445441
GTF3C1	1.9844326
USP33	4.4473114
SNRPA	1.1665381
SIRT6	0.7919561
CAPZB	7.8505645
UBE2A	1.8017904
ARAF	1.1531101
MCCC1	2.7077365
UBE2K	6.7690625
PIK3C3	2.3825414
PPP2R5C	7.0749593
GNB1	6.427706
MLLT10	8.945947
VDAC3	5.868532
PCM1	8.584883
ITCH	7.3108172
SDF4	2.0704973
TOLLIP	0.72271466
UBE2D4	0.67254996
XRCC5	5.4256516
MKNK1	2.4416826
REXO1	0.6651411
SAR1A	2.4694629
CIC	0.5332968
FDFT1	1.9169592
DDX1	2.9170287
DNM2	4.7181277
SLC35C2	1.1442958
RAB21	3.989892
SMARCA2	5.045904
CNOT4	5.2530756
PSEN1	2.9301193
CPOX	0.5384898
DLGAP4	2.7641513
OSTM1	1.659571
EXD2	0.85610074
UBA5	1.564051
ZNF506	0.23402284
JMJD4	0.35969108
WDR70	6.3415675
BZW1	2.6681833
ME2	2.8974035
MRPL22	1.8187256
GSK3B	7.6573253
XPO1	3.5845668
RNF13	5.370145
TNPO1	4.287378
PLOD1	1.340274
DIS3	1.4426839
TDRD3	6.907128
ZNF446	0.43350786
RPS5	6.716478
YTHDC1	2.9834983
CHMP2B	1.3925205
PPIE	0.93402386
ZMPSTE24	1.5693966
STARD7	3.6046069
NOA1	0.50055444
REST	1.9567608
WBP11	1.577838
EIF3I	2.3585386
TXLNA	1.0276334
NCOA1	12.251979
RAB10	5.8914247
HADHA	6.612356
CD82	1.2664466
MYNN	0.9703589
PREP	1.3881758
SEH1L	1.0214107
CPNE3	3.40977
RRN3	1.6049445
CTTN	5.694349
CHERP	0.2399905
ATG16L1	0.5739981
POMGNT1	1.5017892
CHMP5	2.4009528
NFX1	4.3693643
DIMT1	1.2107769
EIF2AK1	1.4947969
SEPHS1	1.2439302
MRPL28	1.4269922
ITPKC	1.531364
TMED2	2.667781
ZFAND6	4.7619705
TXLNG	1.1667409
HUWE1	4.306841
ZW10	0.6670568
ALG9	0.14997241
ACOX3	1.7583698
PIGS	0.34842455
ATXN7L3	0.38556445
PSMC5	2.1261938
