	ref_hk
DPM1	4.5877204
SCYL3	1.5070051
GCLC	1.906277
BAD	4.2416654
LAP3	4.524114
M6PR	4.099651
ALS2	2.195308
RBM5	6.7994766
ARF5	5.8588185
POLDIP2	3.7553253
AK2	8.031084
RBM6	13.469831
ST7	5.693459
CDC27	5.2004514
HCCS	1.3081594
UPF1	2.0046084
SLC25A5	15.172682
POLR2J	6.8199315
DHX33	0.83767605
LIG3	1.1130427
RPAP3	2.40376
SPPL2B	2.6632457
MSL3	1.7205
IBTK	5.480488
ZNF195	1.992351
FBXL3	3.242561
PDK2	3.2354531
LAMP2	5.7488027
GDE1	2.4198956
RALA	5.085553
GGCT	4.0097756
IFRD1	5.711922
PAF1	1.8553994
ELAC2	1.6276773
ADIPOR2	4.370461
MARK4	2.608272
CCDC124	4.370873
PAFAH1B1	11.024048
TSR3	1.8192277
DNAJC11	4.7800164
PSMB1	12.112839
SYPL1	6.6532135
SPAG9	10.552029
SS18L2	3.1036475
MPND	0.63315743
MED24	2.123267
SEC62	13.729184
UBE3C	6.6997304
VTA1	3.1357932
BAZ1B	5.678114
METTL13	0.9041896
ZNF207	10.686997
UQCRC1	8.414591
NISCH	3.338488
NME1-NME2	0.02345897
RNF216	5.6519327
TTC19	5.4951153
LARS2	2.4448326
WIZ	0.8698113
PPP5C	3.165808
ERCC1	4.3147616
MBTPS2	1.5985272
EXTL3	1.0867087
UBR7	1.0126189
PSMC4	5.268735
MAN2B2	0.99723476
SLC25A39	6.079278
NUB1	3.674899
RNF14	2.5584943
HEBP1	3.4335926
UFL1	3.6548297
ZC3H3	1.5290198
CAPN1	3.8262436
SLC30A9	6.963335
COX15	1.9893274
YAF2	6.4074464
ZMYND11	6.747825
XYLT2	0.8797462
GLT8D1	2.4800026
ATP2C1	5.441392
RALBP1	7.3555403
AGPS	3.9314756
ZRANB1	2.9311047
MNAT1	8.783146
RNF10	6.5558577
RNH1	7.229787
RB1CC1	7.4276366
ERP44	6.1106243
GLRX2	1.64551
DERA	6.288851
STRAP	7.9550643
GCLM	2.1367445
UBR2	7.4896994
NCAPH2	1.263624
SEC63	6.6080413
IFNGR1	3.7834945
B4GALT7	1.3667898
VRK2	3.4934359
VEZT	6.793778
BRD9	2.611918
BCLAF1	9.696046
TFB1M	2.7181363
RABEP1	6.330076
RANBP3	2.272689
PNPLA6	1.7438846
ABCF2	0.8737994
PIAS1	9.369184
GABARAPL2	10.520288
FAM136A	3.5181818
RFC1	6.1701517
TBC1D23	3.1182384
ZZZ3	7.313453
RPL26L1	4.264749
NSUN2	2.1232705
FBXO42	4.8649774
MFAP3	1.1043962
MRI1	1.6586784
MAT2B	3.849142
EDC4	0.14739096
PNKP	2.7287047
STAU2	6.853817
PHF23	1.845841
PSMA4	9.8761015
LSG1	1.8281971
PARP3	0.5540602
THAP3	1.1791592
AP2S1	9.71674
CTNNA1	13.861991
HSPA5	11.094448
GEMIN8	1.7191392
ATP6V1H	7.804596
POLR2B	4.4430585
GOPC	3.760796
TSPAN17	0.9483706
NOP16	1.3185556
MRPS10	3.189215
FAM120A	6.7502418
VAMP3	3.2424502
RFC2	1.7869262
CLPTM1L	2.5327225
JKAMP	3.1370456
LETMD1	4.467985
MAPK9	2.1674433
HERPUD1	10.6519785
PIK3CB	6.2740345
SIKE1	2.8031743
TTC17	10.574163
AKR7A2	6.172507
MRTO4	1.7921921
USE1	2.2997177
AP5M1	3.1621912
TRAPPC3	3.8462903
THRAP3	9.8031225
PHPT1	10.947022
SDCCAG8	8.8673315
TBC1D22A	8.792467
NOP58	5.7062755
SZRD1	3.6012967
CUL1	4.7585692
FAM114A2	1.4365433
TAB2	5.534068
GINM1	5.6811433
PUM2	9.781061
MRPL43	5.2073703
ZFR	9.188864
RC3H2	3.8001003
GDI2	11.181349
ATG5	5.1833744
PITHD1	2.9856522
SEC61A1	3.5480204
POLR3E	1.6999502
ZC3H11A	1.3460841
RIOK2	1.6046648
YIPF1	1.4305649
CCAR1	8.099578
OGFR	2.1912796
SNRNP40	3.954059
MRPS35	5.2682357
SFSWAP	4.8058376
MON2	9.150615
GPBP1	12.932033
MRPS24	0.38743037
ISOC2	4.5638175
U2AF2	3.0019536
EPN1	5.203571
MED29	2.5491743
MTMR1	1.8664085
HAGH	5.6785636
RNF4	3.245884
TNPO3	4.8333125
RFXANK	3.320011
TMEM161A	1.8270667
CTSA	5.144845
PMS1	2.7243729
HMG20B	3.9568148
TAF11	3.736595
AP3D1	4.2226357
ZNF76	2.1878011
OAT	3.6818671
WDR3	1.1120254
WDR18	3.2448997
NDUFB4	12.895406
SPEN	6.6451044
ZC3H15	8.010543
ASB1	1.0132302
TBC1D1	10.2632675
CDK13	9.025662
PPP2R5A	5.264979
ELAVL1	4.5911827
KDM4A	0.79083544
NFYC	6.101399
ELOVL1	1.7904408
ZBTB11	2.0573068
GOLGA5	2.0991838
LRRC40	2.2134838
MSANTD3	0.74372905
ATG2B	3.3384163
MTFR1	3.0259771
FECH	1.7656952
IDI1	4.3864303
STOML1	0.4558238
DHX29	4.765152
DNTTIP2	2.9698925
RHOA	15.388136
DHX8	1.8347698
IARS2	3.3896768
IDH3G	4.9234443
COASY	2.3193645
MEF2A	12.409506
OTUD5	2.2291293
TFE3	1.2233018
INPP5A	2.970222
GPKOW	1.0569576
GRIPAP1	2.3183107
FTSJ1	0.8456394
LAPTM4A	14.814577
IP6K2	6.7428308
SIRT2	2.707844
ERLEC1	3.263912
PPP2R5B	0.80216646
NUP133	2.2016904
NUCKS1	16.6196
DNAJA2	4.100253
MAPK6	4.069485
PHRF1	1.57607
DGCR2	3.105917
RNF126	1.9696212
JMJD6	2.0412955
GBA2	2.3904874
NDST1	1.8717575
EIF2B3	3.2993405
CDC42	14.651933
MAP4K4	6.4469337
RPL31	21.244991
WDR1	7.364386
SNX13	5.3139195
SEL1L	3.5526478
ATP6AP1	5.060715
DAZAP1	3.5934153
