	ref_hk
DPM1	6.6841307
SCYL3	1.2687147
GCLC	5.006619
BAD	3.7311792
LAP3	8.778529
M6PR	10.705937
ALS2	1.775446
RBM5	5.9976063
ARF5	9.874636
POLDIP2	7.004064
AK2	10.243098
RBM6	8.097845
ST7	2.855077
CDC27	6.9816117
HCCS	3.4955177
UPF1	2.2229145
SLC25A5	24.689556
POLR2J	11.540808
DHX33	1.6693488
LIG3	1.3231648
RPAP3	3.2494369
SPPL2B	1.5739375
MSL3	3.236809
IBTK	4.8822994
ZNF195	2.1623502
FBXL3	2.6493726
PDK2	1.9469754
LAMP2	7.1517673
GDE1	3.8832533
RALA	5.717311
GGCT	8.213959
IFRD1	6.2205024
PAF1	3.417467
ELAC2	3.3748693
ADIPOR2	5.480702
MARK4	1.3411331
CCDC124	8.815092
PAFAH1B1	7.8591127
TSR3	2.1084712
DNAJC11	2.5377636
PSMB1	20.376062
SYPL1	7.7133436
SPAG9	5.655903
SS18L2	7.6711855
MPND	0.76318717
MED24	2.3831704
SEC62	18.772123
UBE3C	3.5066133
VTA1	4.1658444
BAZ1B	6.9353485
METTL13	3.0476277
ZNF207	14.612474
UQCRC1	13.621093
NISCH	2.5139759
NME1-NME2	0.08653154
RNF216	3.921379
TTC19	4.205781
LARS2	1.2322539
WIZ	1.1049235
PPP5C	3.666706
ERCC1	7.6594877
MBTPS2	1.1420228
EXTL3	1.0988288
UBR7	1.9640211
PSMC4	10.545417
MAN2B2	1.5264566
SLC25A39	12.69548
NUB1	4.1505733
RNF14	1.926299
HEBP1	9.430109
UFL1	4.166872
ZC3H3	1.6220012
CAPN1	6.455889
SLC30A9	4.34593
COX15	2.2218025
YAF2	5.569637
ZMYND11	3.2240117
XYLT2	0.48277313
GLT8D1	3.1350267
ATP2C1	3.1688333
RALBP1	8.1570425
AGPS	3.9357414
ZRANB1	2.621015
MNAT1	4.9369874
RNF10	6.6834054
RNH1	12.968118
RB1CC1	6.325735
ERP44	9.060642
GLRX2	3.9417713
DERA	5.663442
STRAP	11.642175
GCLM	3.7373211
UBR2	4.5321665
NCAPH2	3.1110048
SEC63	8.14254
IFNGR1	9.890688
B4GALT7	2.1493914
VRK2	3.7730446
VEZT	4.0648956
BRD9	2.9450145
BCLAF1	12.493844
TFB1M	2.878456
RABEP1	6.9953628
RANBP3	2.8180175
PNPLA6	2.8379655
ABCF2	2.2464488
PIAS1	7.1332245
GABARAPL2	15.939532
FAM136A	7.270289
RFC1	8.007492
TBC1D23	3.0352635
ZZZ3	4.0876975
RPL26L1	7.3043504
NSUN2	2.9747057
FBXO42	2.3822033
MFAP3	0.6251771
MRI1	1.3731568
MAT2B	6.447683
EDC4	0.42924744
PNKP	4.0693994
STAU2	3.6238437
PHF23	2.6745176
PSMA4	16.983192
LSG1	2.4142408
PARP3	0.415616
THAP3	1.6541752
AP2S1	20.677406
CTNNA1	7.496665
HSPA5	18.691702
GEMIN8	1.7387034
ATP6V1H	5.401443
POLR2B	5.396261
GOPC	5.2718
TSPAN17	2.5882266
NOP16	5.5903416
MRPS10	5.6453476
FAM120A	6.7831078
VAMP3	4.1229305
RFC2	5.090733
CLPTM1L	3.0863023
JKAMP	3.72826
LETMD1	4.6151767
MAPK9	1.5646824
HERPUD1	12.624613
PIK3CB	2.6572938
SIKE1	3.622765
TTC17	6.5962787
AKR7A2	7.769278
MRTO4	5.198942
USE1	4.3831177
AP5M1	2.4869924
TRAPPC3	7.954233
THRAP3	13.732787
PHPT1	12.978613
SDCCAG8	5.693394
TBC1D22A	4.640572
NOP58	10.133207
SZRD1	5.558309
CUL1	5.619331
FAM114A2	2.1422968
TAB2	3.4548492
GINM1	3.862689
PUM2	6.9745836
MRPL43	8.8519335
ZFR	7.539023
RC3H2	2.579828
GDI2	19.188107
ATG5	4.8273973
PITHD1	7.954908
SEC61A1	6.2610383
POLR3E	2.5419788
ZC3H11A	2.1986816
RIOK2	2.661423
YIPF1	2.0781689
CCAR1	9.125114
OGFR	4.8536487
