	ref_hk
DPM1	3.8111665
SCYL3	0.7056677
GCLC	1.4545275
BAD	4.636638
LAP3	7.8844633
M6PR	8.8836775
ALS2	0.7762197
RBM5	4.3281407
ARF5	8.6895075
POLDIP2	3.2471128
AK2	5.031513
RBM6	5.9531484
ST7	2.6858182
CDC27	3.2541263
HCCS	1.691837
UPF1	1.6242981
SLC25A5	20.268192
POLR2J	8.238385
DHX33	0.7663037
LIG3	0.8360318
RPAP3	1.7574806
SPPL2B	1.2568111
MSL3	2.4125206
IBTK	3.6556559
ZNF195	1.2728649
FBXL3	2.598254
PDK2	1.3114661
LAMP2	9.394621
GDE1	4.351834
RALA	5.9132633
GGCT	4.3757534
IFRD1	6.3969173
PAF1	2.4032238
ELAC2	1.4445233
ADIPOR2	4.2285166
MARK4	1.1872286
CCDC124	5.638069
PAFAH1B1	7.4372864
TSR3	2.8021955
DNAJC11	1.1884929
PSMB1	15.970441
SYPL1	7.340495
SPAG9	8.21569
SS18L2	4.2197022
MPND	1.1697718
MED24	2.1516294
SEC62	17.285618
UBE3C	2.6514077
VTA1	2.353753
BAZ1B	4.355967
METTL13	0.9522979
ZNF207	9.215971
UQCRC1	8.535777
NISCH	1.9357206
NME1-NME2	0.014420412
RNF216	2.8878665
TTC19	4.566256
LARS2	0.6481247
WIZ	0.7310516
PPP5C	1.9811248
ERCC1	5.093339
MBTPS2	0.7188152
EXTL3	0.653749
UBR7	0.81128263
PSMC4	5.223429
MAN2B2	1.7200243
SLC25A39	5.2987394
NUB1	4.050337
RNF14	1.6039376
HEBP1	5.1985455
UFL1	3.760633
ZC3H3	1.0816963
CAPN1	4.65716
SLC30A9	2.7831998
COX15	1.3667402
YAF2	3.448932
ZMYND11	3.0040116
XYLT2	0.47366002
GLT8D1	2.2189708
ATP2C1	5.272536
RALBP1	5.795962
AGPS	3.2426221
ZRANB1	1.8486902
MNAT1	2.9192302
RNF10	4.988431
RNH1	14.167765
RB1CC1	5.920251
ERP44	8.48112
GLRX2	2.9230366
DERA	3.3219085
STRAP	7.1139956
GCLM	2.1600277
UBR2	3.500639
NCAPH2	1.310188
SEC63	6.4019513
IFNGR1	11.313732
B4GALT7	1.7512779
VRK2	2.728598
VEZT	3.455193
BRD9	2.2574222
BCLAF1	8.945194
TFB1M	1.2751278
RABEP1	3.363681
RANBP3	1.9346118
PNPLA6	5.698164
ABCF2	1.271445
PIAS1	7.344087
GABARAPL2	13.08321
FAM136A	3.148897
RFC1	5.0449657
TBC1D23	2.0568748
ZZZ3	1.5933323
RPL26L1	4.538844
NSUN2	1.6388458
FBXO42	2.2128696
MFAP3	0.42294914
MRI1	0.9740217
MAT2B	4.4660096
EDC4	0.41011885
PNKP	2.8539188
STAU2	2.33375
PHF23	1.3548471
PSMA4	11.552569
LSG1	1.6039182
PARP3	0.6439949
THAP3	0.9272615
AP2S1	15.390896
CTNNA1	10.191902
HSPA5	16.687794
GEMIN8	0.99127024
ATP6V1H	4.4310317
POLR2B	3.628969
GOPC	3.2188847
TSPAN17	1.0844232
NOP16	2.0243046
MRPS10	3.22666
FAM120A	6.7582703
VAMP3	5.59838
RFC2	1.7517477
CLPTM1L	3.3779802
JKAMP	3.610355
LETMD1	3.1687279
MAPK9	1.4323695
HERPUD1	14.104789
PIK3CB	2.9218671
SIKE1	2.0553744
TTC17	4.788152
AKR7A2	4.7332788
MRTO4	2.4414546
USE1	2.6877308
AP5M1	1.8759713
TRAPPC3	6.1184
THRAP3	8.9204235
PHPT1	12.328389
SDCCAG8	6.5027857
TBC1D22A	3.3520002
NOP58	5.512453
SZRD1	4.3053565
CUL1	3.419574
FAM114A2	1.1956631
TAB2	2.6372035
GINM1	5.0987396
PUM2	4.622281
MRPL43	6.300608
ZFR	5.2423434
RC3H2	2.1867642
GDI2	11.870706
ATG5	3.4505103
PITHD1	4.092356
SEC61A1	5.2789235
POLR3E	1.4130447
ZC3H11A	3.4838207
RIOK2	1.4094
YIPF1	1.4777987
CCAR1	4.7540193
OGFR	4.1281004
SNRNP40	3.38784
MRPS35	4.490988
SFSWAP	3.2337315
MON2	3.2730234
GPBP1	9.147318
MRPS24	2.3824105
ISOC2	3.9077241
U2AF2	3.0282874
EPN1	4.2564483
MED29	3.300876
MTMR1	0.7847649
HAGH	5.5018177
RNF4	2.6393132
TNPO3	2.6153939
RFXANK	3.0068154
TMEM161A	1.2992681
CTSA	7.8920355
PMS1	1.4725691
HMG20B	3.521679
TAF11	3.1116505
AP3D1	4.06699
ZNF76	1.2389
OAT	4.05584
WDR3	0.9259673
WDR18	2.3647666
NDUFB4	14.800719
SPEN	4.098388
ZC3H15	8.905793
ASB1	1.1420763
TBC1D1	2.679706
CDK13	3.5450442
PPP2R5A	4.4214716
ELAVL1	4.69496
KDM4A	0.9885364
NFYC	3.3015277
ELOVL1	4.224389
ZBTB11	1.5505463
GOLGA5	1.86527
LRRC40	1.1180595
MSANTD3	0.8390465
ATG2B	1.1035877
MTFR1	1.3079939
FECH	0.95737046
IDI1	7.14881
STOML1	0.6314819
DHX29	4.438853
DNTTIP2	4.696336
RHOA	25.4634
DHX8	1.6429745
IARS2	3.6431801
IDH3G	5.5476775
COASY	2.2142174
MEF2A	6.445137
OTUD5	1.9742311
TFE3	1.5961428
INPP5A	1.1282874
GPKOW	1.1062859
GRIPAP1	2.3243632
FTSJ1	1.5257884
LAPTM4A	18.3749
IP6K2	3.5187912
SIRT2	3.1658773
ERLEC1	6.953146
PPP2R5B	0.82299346
NUP133	1.3664209
NUCKS1	13.724723
DNAJA2	5.370726
MAPK6	3.354499
PHRF1	1.2306093
DGCR2	1.993777
RNF126	3.247048
JMJD6	3.0921974
GBA2	1.1125152
NDST1	1.4084443
EIF2B3	2.387452
CDC42	19.764597
MAP4K4	4.3428507
RPL31	32.485714
WDR1	9.5107
SNX13	2.89572
SEL1L	4.3819413
ATP6AP1	10.318013
DAZAP1	3.929988
MBD3	1.8104833
FAM50A	6.5505323
FAM3A	2.1747277
PDCD2	4.210698
PRKACA	1.936144
ALDH3A2	3.721888
AFF4	8.335631
SMC1A	3.8476217
HSD17B10	5.949448
TRNT1	1.6722413
ACADVL	10.016024
FBXW11	3.5937529
DERL2	4.067189
AP1M1	2.6134973
SDHA	4.0589824
SMARCE1	4.2821345
PICALM	7.9118624
MRPS34	7.3879085
CLNS1A	6.339545
EED	1.2442806
TSG101	5.5776973
BCS1L	0.86423624
LMAN1	7.8016577
ARHGEF10L	1.6386732
EIF4G3	4.3266945
GRAMD4	1.1744274
ZNF638	5.953402
TIMM21	1.1119945
ZNF37A	1.7932401
MARK3	5.6175666
SLC25A3	20.24408
TMEM131	3.2007706
DLG1	3.4728446
RAB7A	15.739285
BCAP29	5.0653353
SART3	1.5134726
EXOSC7	3.155537
MKRN2	1.3252809
RBM7	2.8827744
PTPN23	1.1959201
MLH1	1.6984632
UNG	1.0433711
KLHL20	1.8245617
TOP2B	3.3087344
TM9SF3	5.8397484
DNAJC10	3.1744342
GTF3C1	1.8790126
USP33	3.7619338
SNRPA	3.9847524
SIRT6	1.2943424
CAPZB	15.400418
UBE2A	6.166181
ARAF	2.5449994
MCCC1	2.6313655
UBE2K	6.8627014
PIK3C3	2.0292912
PPP2R5C	8.536808
GNB1	9.501274
MLLT10	3.904848
VDAC3	6.040613
PCM1	8.129995
ITCH	3.7722044
SDF4	7.12987
TOLLIP	3.3150308
UBE2D4	1.724695
XRCC5	10.585334
MKNK1	3.4088006
REXO1	0.9751757
SAR1A	6.839912
CIC	1.2557309
FDFT1	8.164925
DDX1	3.821536
DNM2	5.364178
SLC35C2	2.3325372
RAB21	4.52089
SMARCA2	4.4541144
CNOT4	4.28435
PSEN1	4.262961
CPOX	0.6989662
DLGAP4	2.8336673
OSTM1	3.4894598
EXD2	0.78847194
UBA5	1.9072634
ZNF506	1.1392862
JMJD4	0.79513735
WDR70	2.6813836
BZW1	10.399255
ME2	3.2019691
MRPL22	4.5159774
GSK3B	4.142565
XPO1	4.954491
RNF13	10.368139
TNPO1	4.467724
PLOD1	2.2546403
DIS3	2.3197198
TDRD3	2.6194472
ZNF446	0.45017818
RPS5	33.468338
YTHDC1	5.9921284
CHMP2B	6.545741
PPIE	3.0811484
ZMPSTE24	3.3128586
STARD7	4.905017
NOA1	1.6369027
REST	4.1877027
WBP11	4.447139
EIF3I	9.65962
TXLNA	1.9016067
NCOA1	4.513574
RAB10	9.791631
HADHA	9.417835
CD82	4.202315
MYNN	1.2861073
PREP	1.6884038
SEH1L	1.8749179
CPNE3	6.051108
RRN3	1.6799271
CTTN	3.3541565
CHERP	1.2075187
ATG16L1	0.76123494
POMGNT1	1.4500238
CHMP5	8.754953
NFX1	2.6199002
DIMT1	2.0156817
EIF2AK1	4.2189884
SEPHS1	1.2837415
MRPL28	4.4176135
ITPKC	1.8263211
TMED2	10.98032
ZFAND6	9.098154
TXLNG	1.9256771
