	ref_hk
DPM1	2.6085234
SCYL3	1.2651994
GCLC	2.4042423
BAD	2.49496
LAP3	3.8682618
M6PR	9.35513
ALS2	0.4677167
RBM5	6.22448
ARF5	8.821912
POLDIP2	2.7021601
AK2	4.241922
RBM6	7.875099
ST7	0.5089666
CDC27	2.8027132
HCCS	1.4803312
UPF1	2.9130824
SLC25A5	21.125263
POLR2J	6.3990536
DHX33	1.0288354
LIG3	1.2813543
RPAP3	3.2918317
SPPL2B	1.8605329
MSL3	6.141163
IBTK	3.0581121
ZNF195	2.3361666
FBXL3	3.7047029
PDK2	1.3594652
LAMP2	3.4251995
GDE1	1.9084193
RALA	4.999648
GGCT	2.8574903
IFRD1	10.490676
PAF1	4.3322515
ELAC2	2.1917694
ADIPOR2	1.8325291
MARK4	1.0501274
CCDC124	4.0866942
PAFAH1B1	8.800453
TSR3	3.696633
DNAJC11	1.3209469
PSMB1	14.55473
SYPL1	10.059024
SPAG9	4.458741
SS18L2	8.0615225
MPND	0.8785041
MED24	1.5214257
SEC62	19.258078
UBE3C	2.6574197
VTA1	3.099766
BAZ1B	6.6255755
METTL13	1.3494952
ZNF207	10.446575
UQCRC1	5.7907467
NISCH	2.2315238
NME1-NME2	0.016526224
RNF216	5.6707654
TTC19	5.723527
LARS2	0.8039145
WIZ	0.82990897
PPP5C	2.3694024
ERCC1	4.4936543
MBTPS2	0.5375266
EXTL3	0.4090268
UBR7	1.3454348
PSMC4	5.3495884
MAN2B2	1.89009
SLC25A39	4.8744345
NUB1	5.892727
RNF14	1.6458033
HEBP1	1.8621192
UFL1	4.477319
ZC3H3	1.1912266
CAPN1	3.676526
SLC30A9	2.5449338
COX15	1.4035358
YAF2	4.5092044
ZMYND11	3.1697004
XYLT2	0.56883943
GLT8D1	2.0041647
ATP2C1	1.7696431
RALBP1	6.685654
AGPS	2.0264657
ZRANB1	1.7205256
MNAT1	2.8479815
RNF10	5.832495
RNH1	8.556975
RB1CC1	6.5055475
ERP44	5.6872168
GLRX2	2.0013065
DERA	1.596199
STRAP	8.445371
GCLM	2.2657568
UBR2	4.003968
NCAPH2	1.5469317
SEC63	5.743711
IFNGR1	7.1025095
B4GALT7	1.332412
VRK2	1.7835711
VEZT	3.1948652
BRD9	4.1516676
BCLAF1	17.211666
TFB1M	1.548814
RABEP1	5.4689636
RANBP3	2.3011916
PNPLA6	1.4448476
ABCF2	1.6090323
PIAS1	7.3203664
GABARAPL2	11.371932
FAM136A	4.0604873
RFC1	6.8813257
TBC1D23	2.2923672
ZZZ3	3.128996
RPL26L1	2.5987844
NSUN2	2.702928
FBXO42	2.0792453
MFAP3	0.6060962
MRI1	1.705177
MAT2B	8.702265
EDC4	1.1895074
PNKP	4.235054
STAU2	2.1402001
PHF23	1.7303239
PSMA4	7.1787057
LSG1	2.9734485
PARP3	0.6361085
THAP3	1.015743
