	ref_hk
DPM1	6.544577
SCYL3	3.588288
GCLC	7.6905355
BAD	2.7286
LAP3	2.7803822
M6PR	3.4015913
ALS2	10.404604
RBM5	18.171818
ARF5	5.7027636
POLDIP2	2.4128218
AK2	3.7473626
RBM6	27.204494
ST7	8.523349
CDC27	15.654371
HCCS	0.9345082
UPF1	2.540783
SLC25A5	5.910272
POLR2J	0.0
DHX33	1.1766802
LIG3	1.8160424
RPAP3	5.1143475
SPPL2B	6.1730647
MSL3	2.160512
IBTK	17.403816
ZNF195	5.602216
FBXL3	7.1466823
PDK2	3.5368483
LAMP2	15.540137
GDE1	2.8733938
RALA	8.523183
GGCT	2.6433215
IFRD1	6.7224817
PAF1	1.1930183
ELAC2	2.1565502
ADIPOR2	16.680342
MARK4	7.183772
CCDC124	2.2631798
PAFAH1B1	25.15435
TSR3	1.5333472
DNAJC11	5.3739476
PSMB1	8.632325
SYPL1	4.9738092
SPAG9	24.885038
SS18L2	3.6701021
MPND	0.7736568
MED24	3.4677963
SEC62	22.833672
UBE3C	17.217678
VTA1	6.889491
BAZ1B	8.4781065
METTL13	0.90544176
ZNF207	16.01086
UQCRC1	6.0028477
NISCH	7.7579255
NME1-NME2	0.0
RNF216	12.856046
TTC19	16.610989
LARS2	6.4861517
WIZ	0.7502411
PPP5C	4.578584
ERCC1	3.9808388
MBTPS2	3.9990895
EXTL3	6.511555
UBR7	1.4083915
PSMC4	2.7370696
MAN2B2	1.9584601
SLC25A39	3.1382904
NUB1	5.6187634
RNF14	4.629099
HEBP1	2.517628
UFL1	9.074418
ZC3H3	2.6331367
CAPN1	2.6920135
SLC30A9	13.274754
COX15	0.04423096
YAF2	14.894591
ZMYND11	18.704533
XYLT2	1.941371
GLT8D1	3.1300304
ATP2C1	20.499897
RALBP1	4.757934
AGPS	11.368039
ZRANB1	6.664974
MNAT1	17.071209
RNF10	9.169954
RNH1	6.732655
RB1CC1	17.962671
ERP44	11.758697
GLRX2	2.88885
DERA	2.8465698
STRAP	8.819874
GCLM	5.777808
UBR2	20.243414
NCAPH2	1.7371655
SEC63	10.20334
IFNGR1	8.271047
B4GALT7	1.6532059
VRK2	10.145898
VEZT	19.36206
BRD9	3.7291455
BCLAF1	12.156479
TFB1M	8.535369
RABEP1	18.563906
RANBP3	3.2542484
PNPLA6	4.2415757
ABCF2	2.2959921
PIAS1	20.725504
GABARAPL2	14.034419
FAM136A	2.3866923
RFC1	9.231205
TBC1D23	7.6082807
ZZZ3	20.400375
RPL26L1	1.702276
NSUN2	5.0287566
FBXO42	12.012019
MFAP3	6.648067
MRI1	4.6694164
MAT2B	3.0494545
EDC4	2.284594
PNKP	1.9199668
STAU2	24.60567
PHF23	0.78726727
PSMA4	5.637074
LSG1	2.434047
PARP3	0.5980031
THAP3	1.2354518
AP2S1	5.084583
CTNNA1	12.8894415
HSPA5	9.221045
GEMIN8	4.2757573
ATP6V1H	14.644143
POLR2B	7.026598
GOPC	6.978968
TSPAN17	0.9476298
NOP16	0.58940125
MRPS10	2.3742154
FAM120A	12.134176
VAMP3	2.716379
RFC2	0.71269166
CLPTM1L	3.154191
JKAMP	8.550454
LETMD1	4.5220556
MAPK9	9.928219
HERPUD1	7.0353904
PIK3CB	15.765543
SIKE1	3.349417
TTC17	24.696753
AKR7A2	1.8362255
MRTO4	1.8093282
USE1	2.0820084
AP5M1	6.9898367
TRAPPC3	4.2942214
THRAP3	12.167559
PHPT1	4.9056125
SDCCAG8	24.793701
TBC1D22A	16.24811
NOP58	8.850156
SZRD1	1.9756627
CUL1	13.303303
FAM114A2	2.7351992
TAB2	14.666061
GINM1	5.9753428
PUM2	21.628511
MRPL43	4.726084
ZFR	19.480873
RC3H2	8.354869
GDI2	8.562947
ATG5	11.091158
PITHD1	7.004473
SEC61A1	3.5507176
POLR3E	2.6476119
ZC3H11A	14.3994875
RIOK2	2.5694149
YIPF1	2.3531368
CCAR1	11.066372
OGFR	4.1762915
SNRNP40	6.4322953
MRPS35	5.741273
SFSWAP	10.826624
MON2	26.005072
GPBP1	20.175238
MRPS24	3.9516885
ISOC2	2.3175964
U2AF2	2.2089212
EPN1	3.2294872
MED29	3.4068227
MTMR1	8.218442
HAGH	9.333381
RNF4	4.267734
TNPO3	9.205582
RFXANK	0.63651294
TMEM161A	1.9508774
CTSA	3.486671
PMS1	13.452612
HMG20B	0.70631593
TAF11	5.1941714
AP3D1	5.622881
ZNF76	4.3917074
OAT	6.6836915
WDR3	2.893197
WDR18	1.5757425
NDUFB4	9.73425
SPEN	12.808295
ZC3H15	10.449902
ASB1	1.4019661
TBC1D1	7.3375626
CDK13	25.182121
PPP2R5A	7.0362983
ELAVL1	5.3922076
KDM4A	4.052213
NFYC	7.4937215
ELOVL1	3.904582
ZBTB11	5.4546475
GOLGA5	3.7419908
LRRC40	6.754911
MSANTD3	5.242136
ATG2B	11.839662
MTFR1	5.8123007
FECH	4.3902445
IDI1	9.960963
STOML1	2.245607
DHX29	11.045278
DNTTIP2	2.216139
RHOA	8.339072
DHX8	4.369082
IARS2	4.7798653
IDH3G	2.833129
COASY	1.2323835
MEF2A	23.177711
OTUD5	4.2286925
TFE3	1.4856572
INPP5A	5.5148625
GPKOW	0.8868265
GRIPAP1	5.6733437
FTSJ1	0.90546256
LAPTM4A	4.117889
IP6K2	8.484989
SIRT2	10.340684
ERLEC1	9.075847
PPP2R5B	4.4723577
NUP133	9.04274
NUCKS1	19.411127
DNAJA2	4.6632986
MAPK6	10.090642
PHRF1	1.9017627
DGCR2	8.879596
RNF126	2.4230807
JMJD6	1.3593384
GBA2	4.1770506
NDST1	4.010253
EIF2B3	8.644049
CDC42	14.988347
MAP4K4	30.748543
RPL31	6.4918923
WDR1	2.1492243
SNX13	15.346751
SEL1L	9.612593
ATP6AP1	7.8401265
DAZAP1	4.8824186
MBD3	2.089689
FAM50A	2.5040433
FAM3A	2.5348036
PDCD2	3.2360466
PRKACA	5.5928073
ALDH3A2	4.1905913
AFF4	17.55523
SMC1A	3.7704394
HSD17B10	1.1004297
TRNT1	5.5219393
ACADVL	5.657342
FBXW11	16.101164
DERL2	2.3291075
AP1M1	3.5269043
SDHA	6.9950275
SMARCE1	1.6141473
PICALM	29.545652
MRPS34	4.3787436
CLNS1A	11.608144
EED	5.288999
TSG101	7.339814
BCS1L	0.9428574
LMAN1	5.278931
ARHGEF10L	5.090197
EIF4G3	36.032196
GRAMD4	2.3783824
ZNF638	34.50958
TIMM21	2.2800775
ZNF37A	0.08972118
MARK3	22.043983
SLC25A3	11.617277
TMEM131	16.79109
DLG1	33.262516
RAB7A	14.82809
BCAP29	8.935103
SART3	4.503757
EXOSC7	4.139404
MKRN2	2.4879894
RBM7	0.035420455
PTPN23	2.5584772
MLH1	5.177574
UNG	1.2757891
KLHL20	7.774299
TOP2B	13.6930065
TM9SF3	12.466204
DNAJC10	9.039092
GTF3C1	6.842928
USP33	20.942741
SNRPA	1.6129589
SIRT6	1.9444784
CAPZB	13.719096
UBE2A	2.878126
ARAF	1.164866
MCCC1	11.215263
UBE2K	18.750807
PIK3C3	15.842399
PPP2R5C	14.962544
GNB1	18.485197
MLLT10	23.458237
VDAC3	12.524707
PCM1	26.379742
ITCH	18.898426
SDF4	4.7060704
TOLLIP	4.2075768
UBE2D4	2.8477056
XRCC5	18.361006
MKNK1	7.714344
REXO1	1.5653663
SAR1A	6.257071
CIC	2.1013143
FDFT1	12.565148
DDX1	10.477817
DNM2	9.55695
SLC35C2	3.5862246
RAB21	8.539511
SMARCA2	19.782595
CNOT4	16.957281
PSEN1	16.8146
CPOX	1.5762253
DLGAP4	10.283389
OSTM1	6.447005
EXD2	4.8887587
UBA5	6.521477
ZNF506	0.5006851
JMJD4	0.70792025
WDR70	22.810532
BZW1	4.301188
ME2	10.107563
MRPL22	3.6089222
GSK3B	26.736534
XPO1	15.645281
RNF13	25.594791
TNPO1	15.61
PLOD1	1.2819878
DIS3	4.934358
TDRD3	17.650673
ZNF446	0.85983974
RPS5	8.362555
YTHDC1	12.304188
CHMP2B	5.4433045
PPIE	3.3087623
ZMPSTE24	3.6881933
STARD7	5.6943603
NOA1	1.3527929
REST	1.426166
WBP11	4.2960544
EIF3I	2.5847073
TXLNA	2.101942
NCOA1	32.986603
RAB10	15.219048
HADHA	6.89256
CD82	2.7132661
MYNN	3.2206967
PREP	6.581746
SEH1L	1.9190123
CPNE3	7.1917653
RRN3	2.907867
CTTN	13.649975
CHERP	0.017145663
ATG16L1	3.7521994
POMGNT1	4.292928
CHMP5	5.777997
NFX1	10.910171
DIMT1	3.784802
EIF2AK1	5.4646616
SEPHS1	2.5556157
MRPL28	1.4758998
ITPKC	1.1706928
TMED2	4.9163923
ZFAND6	9.158033
TXLNG	6.5755043
HUWE1	17.017014
ZW10	2.4970975
ALG9	4.732539
ACOX3	3.3224528
PIGS	2.483615
ATXN7L3	2.3567355
PSMC5	4.759258
OGFOD1	3.9855456
NOP14	1.4704651
SF3B2	5.919046
DNM1L	20.45924
ERGIC2	9.2452345
METTL2A	1.9178259
CNOT3	1.6435747
DDX18	9.303849
KHSRP	2.883279
ANKRD10	17.245424
CRLS1	5.635272
ATRN	15.631991
NSFL1C	5.6319327
ZNF343	2.3873296
MAVS	3.5625365
SNX5	2.8978727
RPL6	13.512343
MAPKAPK5	4.8348513
ESF1	11.71338
ANAPC5	15.481372
TMEM230	9.374841
PEBP1	26.047672
CDIP1	5.4434385
GANAB	3.652221
RBM41	7.144543
MLF2	7.3529606
DDX24	20.206451
ZBTB25	5.513755
NECAP1	0.16455524
DHX32	8.352919
PAPOLA	16.220966
CCNK	3.2672608
MRPS33	3.4440246
NDUFB2	12.713062
NUDC	5.9020033
MAEA	4.813826
MUL1	1.4375943
SPG21	3.440723
DNAJB11	3.1174002
GNPTG	6.5388603
GOLGA3	6.549608
MCOLN1	2.9500754
GLG1	21.308228
TNRC6A	36.062454
EXOC1	14.7618265
RBM27	0.106170624
PUS7	5.4776726
DLD	6.546972
TXNL1	11.060098
FH	3.0141814
CDV3	3.2170033
ALKBH5	4.4528036
SPAG7	2.3667448
TMEM101	1.638971
PSME1	1.3670132
PPP2R3C	8.346526
HAUS4	1.8565232
OSGEP	5.1204953
RNF31	1.8283968
SCFD1	17.46458
HNRNPC	19.017363
TOX4	5.474187
TINF2	1.0160589
SNAP23	6.3618526
MFSD11	8.994397
COMT	6.089694
ECHDC1	9.031771
