	ref_hk
DPM1	7.4069915
SCYL3	0.48152098
GCLC	4.9087996
BAD	4.5109406
LAP3	2.672097
M6PR	5.733864
ALS2	0.4380555
RBM5	4.2368946
ARF5	7.355452
POLDIP2	3.19353
AK2	7.429478
RBM6	4.0800767
ST7	0.96344024
CDC27	1.7888948
HCCS	3.7537112
UPF1	2.2724147
SLC25A5	24.310963
POLR2J	9.309734
DHX33	1.2716929
LIG3	1.2425709
RPAP3	1.3344065
SPPL2B	0.76913625
MSL3	1.3366598
IBTK	3.9520876
ZNF195	1.4731517
FBXL3	3.3614929
PDK2	1.3499377
LAMP2	8.000645
GDE1	4.1462917
RALA	3.3425577
GGCT	4.4776893
IFRD1	8.702953
PAF1	3.2691
ELAC2	1.0725797
ADIPOR2	2.6567402
MARK4	1.0234194
CCDC124	5.909903
PAFAH1B1	7.746205
TSR3	3.7210894
DNAJC11	0.68396556
PSMB1	20.562456
SYPL1	16.058064
SPAG9	9.806821
SS18L2	5.2368083
MPND	0.64171505
MED24	1.786978
SEC62	18.271935
UBE3C	2.1141505
VTA1	1.7115667
BAZ1B	4.1387305
METTL13	0.79207903
ZNF207	13.108235
UQCRC1	8.831883
NISCH	1.6441675
NME1-NME2	0.007602668
RNF216	1.9378008
TTC19	5.5876236
LARS2	0.26874253
WIZ	0.8906412
PPP5C	1.3898785
ERCC1	6.6785808
MBTPS2	0.5334779
EXTL3	0.41136304
UBR7	0.74279696
PSMC4	6.411763
MAN2B2	0.77896285
SLC25A39	6.840807
NUB1	4.1938133
RNF14	1.4918976
HEBP1	5.193191
UFL1	3.3510365
ZC3H3	0.42912397
CAPN1	8.189438
SLC30A9	2.1351624
COX15	1.1083733
YAF2	3.5930445
ZMYND11	3.0596738
XYLT2	0.36801085
GLT8D1	1.5345474
ATP2C1	3.6469495
RALBP1	11.361506
AGPS	0.7692807
ZRANB1	2.3146586
MNAT1	3.888082
RNF10	5.0583534
RNH1	13.678968
RB1CC1	6.338766
ERP44	6.331337
GLRX2	2.397698
DERA	1.9019035
STRAP	12.283068
GCLM	14.150651
UBR2	2.1663816
NCAPH2	1.2653248
SEC63	6.2154
IFNGR1	10.205839
B4GALT7	1.8855059
VRK2	1.2610039
VEZT	4.351893
BRD9	2.1533241
BCLAF1	8.497413
TFB1M	0.90882045
RABEP1	3.2199783
RANBP3	1.672301
PNPLA6	0.6388218
ABCF2	1.3103645
PIAS1	5.4452496
GABARAPL2	18.215862
FAM136A	3.2696872
RFC1	4.297212
TBC1D23	1.9248517
ZZZ3	1.5249822
RPL26L1	4.10942
NSUN2	1.407882
FBXO42	0.9820083
MFAP3	0.1730357
MRI1	0.93473065
MAT2B	3.654154
EDC4	0.1494307
PNKP	2.7649775
STAU2	1.4544107
PHF23	2.2226753
PSMA4	14.651169
LSG1	1.3591595
PARP3	0.6253493
THAP3	1.2867769
AP2S1	9.415885
CTNNA1	10.0303545
HSPA5	23.618708
GEMIN8	0.8222167
ATP6V1H	3.359557
POLR2B	4.69762
GOPC	2.7205534
TSPAN17	0.9825449
NOP16	7.3371363
MRPS10	4.192228
FAM120A	7.203815
VAMP3	4.9827366
RFC2	1.2726773
CLPTM1L	2.7199726
JKAMP	2.2596767
LETMD1	3.0268996
MAPK9	1.09337
HERPUD1	19.457436
PIK3CB	1.7251153
SIKE1	2.3186724
TTC17	3.6498373
AKR7A2	4.8747764
MRTO4	3.6439226
USE1	3.4874258
AP5M1	1.813923
TRAPPC3	8.406904
THRAP3	7.679168
PHPT1	13.276855
SDCCAG8	2.867024
TBC1D22A	1.1722711
NOP58	7.7103553
SZRD1	4.452362
CUL1	2.535282
FAM114A2	0.7728692
TAB2	2.9124067
GINM1	5.316269
PUM2	3.901561
MRPL43	5.565065
ZFR	5.416712
RC3H2	1.8843472
GDI2	9.581599
ATG5	2.6291711
PITHD1	3.9522753
SEC61A1	4.2359595
POLR3E	1.9729152
ZC3H11A	1.7554232
RIOK2	1.3162293
YIPF1	1.8381884
CCAR1	4.9766912
OGFR	2.7762074
SNRNP40	3.6726525
MRPS35	3.6736736
SFSWAP	3.2384508
MON2	1.8770009
GPBP1	14.598292
MRPS24	2.6204286
ISOC2	5.380257
U2AF2	3.3095727
EPN1	3.4246464
MED29	2.49222
MTMR1	0.8246473
HAGH	4.576526
RNF4	2.1137762
TNPO3	1.6034911
RFXANK	2.482565
TMEM161A	1.1552763
CTSA	2.5117657
PMS1	0.9115639
HMG20B	4.064263
TAF11	2.984927
AP3D1	4.1473217
ZNF76	0.7714401
OAT	8.446525
WDR3	1.7135153
WDR18	1.846748
NDUFB4	19.812727
SPEN	4.6486335
ZC3H15	11.987312
ASB1	1.4433999
TBC1D1	2.66828
CDK13	3.3619158
PPP2R5A	2.6144876
ELAVL1	6.2102833
KDM4A	0.64961064
NFYC	1.9843696
ELOVL1	3.1359625
ZBTB11	1.8102068
GOLGA5	1.6526889
LRRC40	0.6263319
MSANTD3	0.8071354
ATG2B	0.8248179
MTFR1	1.3443418
FECH	0.63250035
IDI1	6.6725335
STOML1	0.3430044
DHX29	4.635573
DNTTIP2	8.433979
RHOA	20.145763
DHX8	1.1868073
IARS2	2.9724684
IDH3G	4.8508506
COASY	2.404031
MEF2A	3.2180145
OTUD5	2.2256627
TFE3	1.8812677
INPP5A	0.6532215
GPKOW	1.1273625
GRIPAP1	1.6454068
FTSJ1	1.2358115
LAPTM4A	27.877993
IP6K2	5.063401
SIRT2	1.8317628
ERLEC1	6.258638
PPP2R5B	0.8180245
NUP133	0.8074494
NUCKS1	18.18352
DNAJA2	6.353852
MAPK6	7.7679276
PHRF1	1.089205
DGCR2	1.4094948
RNF126	4.5783305
JMJD6	3.8646553
GBA2	1.6138948
NDST1	0.53881073
EIF2B3	1.513953
CDC42	21.962894
MAP4K4	3.6056101
RPL31	44.395145
WDR1	12.337697
SNX13	2.0867584
SEL1L	3.0650284
ATP6AP1	4.5341916
DAZAP1	6.6522
MBD3	1.2869151
FAM50A	4.433682
FAM3A	2.1717434
PDCD2	5.9131966
PRKACA	1.219282
ALDH3A2	6.792309
AFF4	7.395548
SMC1A	3.318562
HSD17B10	6.209447
TRNT1	2.160822
ACADVL	17.466812
FBXW11	2.6551793
DERL2	4.3953843
AP1M1	0.8773078
SDHA	4.5710673
SMARCE1	3.0592618
PICALM	4.374612
MRPS34	6.8172317
CLNS1A	7.2477837
EED	1.1703326
TSG101	6.390395
BCS1L	1.0898194
LMAN1	11.879459
ARHGEF10L	0.7217545
EIF4G3	2.619181
GRAMD4	0.3598571
ZNF638	5.3817987
TIMM21	0.8996775
ZNF37A	1.7742639
MARK3	5.0941515
