	ref_hk
DPM1	5.244264
SCYL3	0.71774155
GCLC	0.87790596
BAD	6.9139743
LAP3	5.509562
M6PR	6.7545834
ALS2	1.0051694
RBM5	4.7919965
ARF5	16.58191
POLDIP2	4.511467
AK2	7.7428546
RBM6	4.9848995
ST7	0.94983083
CDC27	3.4708724
HCCS	2.3030608
UPF1	1.692608
SLC25A5	25.428867
POLR2J	10.9934635
DHX33	1.0361432
LIG3	1.1263319
RPAP3	2.5100174
SPPL2B	1.1757956
MSL3	3.2089314
IBTK	3.1824753
ZNF195	1.5167347
FBXL3	2.6965137
PDK2	2.5607924
LAMP2	6.5859303
GDE1	3.265078
RALA	9.03993
GGCT	5.8766704
IFRD1	10.244444
PAF1	3.9493036
ELAC2	1.7787445
ADIPOR2	2.2821782
MARK4	1.1036565
CCDC124	8.806593
PAFAH1B1	7.43279
TSR3	1.283395
DNAJC11	1.2505826
PSMB1	19.246387
SYPL1	9.3806925
SPAG9	7.5544686
SS18L2	6.30709
MPND	0.35438332
MED24	1.8611708
SEC62	19.517872
UBE3C	1.2627027
VTA1	3.37481
BAZ1B	4.0805535
METTL13	1.1891345
ZNF207	12.742927
UQCRC1	10.992021
NISCH	2.87071
NME1-NME2	0.1051424
RNF216	2.9889545
TTC19	2.7336917
LARS2	0.68291
WIZ	1.2758942
PPP5C	3.068061
ERCC1	8.986614
MBTPS2	0.88718253
EXTL3	0.81846917
UBR7	1.3767018
PSMC4	7.3878713
MAN2B2	1.074806
SLC25A39	7.4792304
NUB1	3.4630685
RNF14	1.5500975
HEBP1	7.5295854
UFL1	4.01897
ZC3H3	1.1684676
CAPN1	4.8715677
SLC30A9	2.7898426
COX15	1.4590346
YAF2	3.4856012
ZMYND11	2.8560846
XYLT2	0.63361967
GLT8D1	6.2943153
ATP2C1	4.037407
RALBP1	6.738993
AGPS	2.0056272
ZRANB1	1.8987623
MNAT1	3.0466182
RNF10	6.8123026
RNH1	13.202378
RB1CC1	6.3700457
ERP44	7.459215
GLRX2	2.3921454
DERA	3.1315312
STRAP	14.02376
GCLM	1.1720796
UBR2	2.2645073
NCAPH2	1.8052301
SEC63	7.7195215
IFNGR1	8.290826
B4GALT7	2.5495903
VRK2	1.2855345
VEZT	3.9946346
BRD9	2.5245728
BCLAF1	12.50545
TFB1M	1.0770569
RABEP1	4.35892
RANBP3	2.549615
PNPLA6	1.2969383
ABCF2	1.061766
PIAS1	5.118449
GABARAPL2	16.999636
FAM136A	4.326901
RFC1	5.930925
TBC1D23	2.641253
ZZZ3	2.1021883
RPL26L1	6.273148
NSUN2	1.6072339
FBXO42	1.693276
MFAP3	0.5240622
MRI1	1.155904
MAT2B	5.7039437
EDC4	0.54448783
PNKP	2.7508695
STAU2	1.6843888
PHF23	2.2003052
PSMA4	14.036652
LSG1	1.6155565
PARP3	0.30588207
THAP3	1.6889849
AP2S1	19.260689
CTNNA1	8.605609
HSPA5	25.454746
GEMIN8	1.3766072
ATP6V1H	3.4428766
POLR2B	3.9841366
GOPC	5.544343
TSPAN17	1.3155996
NOP16	3.091307
MRPS10	3.6517577
FAM120A	3.9001384
VAMP3	3.9945207
RFC2	2.9892132
CLPTM1L	1.4663606
JKAMP	4.1733522
LETMD1	4.582102
MAPK9	0.88973725
HERPUD1	15.671256
PIK3CB	0.9402534
SIKE1	3.4575913
TTC17	4.7865605
AKR7A2	7.614266
MRTO4	2.9412913
USE1	3.6967297
AP5M1	1.4183403
TRAPPC3	6.437393
THRAP3	10.867948
PHPT1	17.02239
SDCCAG8	3.377323
TBC1D22A	1.7663381
NOP58	8.370881
SZRD1	5.4901814
CUL1	3.1804261
FAM114A2	1.6027348
TAB2	2.9792824
GINM1	6.9383183
PUM2	3.9889083
MRPL43	9.238368
ZFR	6.859909
RC3H2	2.57955
GDI2	19.766129
ATG5	3.3035376
PITHD1	6.214555
SEC61A1	6.8704615
POLR3E	1.4802023
ZC3H11A	1.1368865
RIOK2	2.6150882
YIPF1	1.4819638
CCAR1	6.214024
OGFR	3.4024668
SNRNP40	5.5782714
MRPS35	5.234497
SFSWAP	3.795989
MON2	2.9679937
GPBP1	11.527814
MRPS24	2.9192574
ISOC2	5.290005
U2AF2	4.9635158
EPN1	6.9999146
MED29	3.9897332
MTMR1	0.4836574
HAGH	2.7450461
RNF4	3.0830681
TNPO3	2.205828
RFXANK	4.460085
TMEM161A	2.5418496
CTSA	6.031768
PMS1	2.2773058
HMG20B	6.2208953
TAF11	4.879998
AP3D1	2.9528418
ZNF76	0.9446309
OAT	7.5339417
WDR3	1.23826
WDR18	4.1336355
NDUFB4	20.008041
SPEN	3.507214
ZC3H15	12.4702215
ASB1	1.5853553
TBC1D1	2.22453
CDK13	2.884346
PPP2R5A	2.0616817
ELAVL1	4.0309973
KDM4A	0.9054436
NFYC	4.4021688
ELOVL1	3.9313707
ZBTB11	1.949756
GOLGA5	2.1683276
LRRC40	1.5988481
MSANTD3	2.5870178
ATG2B	1.1904484
MTFR1	0.99274796
FECH	1.4957212
IDI1	7.722763
STOML1	1.0766319
