	ref_hk
DPM1	4.5917363
SCYL3	0.9951896
GCLC	1.9430151
BAD	6.1544824
LAP3	4.5771904
M6PR	5.267735
ALS2	0.8530199
RBM5	6.090374
ARF5	12.930502
POLDIP2	4.545877
AK2	8.668591
RBM6	6.5030947
ST7	0.95666146
CDC27	2.4997408
HCCS	2.0219307
UPF1	2.015263
SLC25A5	24.847328
POLR2J	11.109957
DHX33	1.276155
LIG3	1.3243046
RPAP3	2.4114788
SPPL2B	2.986238
MSL3	2.1501112
IBTK	3.342316
ZNF195	2.0383763
FBXL3	2.7469153
PDK2	3.470107
LAMP2	4.256406
GDE1	4.221824
RALA	6.4749765
GGCT	6.4471664
IFRD1	8.842031
PAF1	3.6870759
ELAC2	1.8399843
ADIPOR2	2.8253145
MARK4	1.0004913
CCDC124	6.8343205
PAFAH1B1	6.8143687
TSR3	3.8892534
DNAJC11	1.5467975
PSMB1	19.335627
SYPL1	7.693464
SPAG9	5.9142404
SS18L2	6.683381
MPND	1.2679847
MED24	2.0251207
SEC62	17.82351
UBE3C	2.017046
VTA1	3.3904676
BAZ1B	6.1450534
METTL13	1.2496072
ZNF207	11.246923
UQCRC1	12.2575245
NISCH	2.2862127
NME1-NME2	0.018944385
RNF216	2.9022822
TTC19	5.468428
LARS2	0.6020557
WIZ	1.1410085
PPP5C	3.110223
ERCC1	6.523455
MBTPS2	0.771782
EXTL3	0.75713646
UBR7	1.2366983
PSMC4	6.5534506
MAN2B2	0.9382331
SLC25A39	7.6675186
NUB1	4.376245
RNF14	1.6370412
HEBP1	11.162701
UFL1	4.4157066
ZC3H3	0.9354678
CAPN1	4.8878818
SLC30A9	3.1249552
COX15	1.5683972
YAF2	3.8625724
ZMYND11	3.0349865
XYLT2	0.6068074
GLT8D1	3.6932805
ATP2C1	2.3404202
RALBP1	7.556082
AGPS	2.2258775
ZRANB1	2.0385609
MNAT1	3.8670218
RNF10	4.853355
RNH1	9.028311
RB1CC1	5.3892684
ERP44	6.706716
GLRX2	2.0201519
DERA	4.3345046
STRAP	10.944063
GCLM	2.060623
UBR2	2.7259088
NCAPH2	2.0882032
SEC63	7.270987
IFNGR1	5.413279
B4GALT7	2.1839218
VRK2	1.141618
VEZT	4.114695
BRD9	3.7733815
BCLAF1	13.443565
TFB1M	1.5626787
RABEP1	3.4744413
RANBP3	2.4863412
PNPLA6	1.3401921
ABCF2	1.5109444
PIAS1	4.915905
GABARAPL2	14.527124
FAM136A	5.794627
RFC1	6.8742623
TBC1D23	2.183484
ZZZ3	2.3553772
RPL26L1	6.0890784
NSUN2	1.5770606
FBXO42	1.5140024
MFAP3	0.33548197
MRI1	1.2971767
MAT2B	5.1857734
EDC4	0.4071028
PNKP	3.6245155
STAU2	2.4894404
PHF23	2.91985
PSMA4	15.154092
LSG1	2.1626232
PARP3	0.72374886
THAP3	1.7218107
AP2S1	14.425874
CTNNA1	8.423322
HSPA5	22.949316
GEMIN8	1.1876951
ATP6V1H	3.424379
POLR2B	4.9043407
GOPC	5.144397
TSPAN17	1.3947893
NOP16	2.7003148
MRPS10	4.252212
FAM120A	4.833079
VAMP3	4.0943904
RFC2	2.861974
CLPTM1L	2.571152
JKAMP	3.4465077
LETMD1	5.6605377
MAPK9	1.5184633
HERPUD1	13.227783
PIK3CB	1.0172346
SIKE1	2.9979858
TTC17	4.9010253
AKR7A2	9.207194
MRTO4	3.199578
USE1	3.9296875
AP5M1	2.4398153
TRAPPC3	5.584162
THRAP3	11.082309
PHPT1	18.52513
SDCCAG8	4.1415653
TBC1D22A	1.9487786
NOP58	9.155352
SZRD1	4.9891286
CUL1	2.851893
FAM114A2	1.3463138
TAB2	2.8111832
GINM1	4.693159
PUM2	4.289971
MRPL43	9.290735
ZFR	5.469814
RC3H2	2.2075934
GDI2	16.90881
ATG5	3.7732224
PITHD1	5.6826878
SEC61A1	5.12914
POLR3E	2.1000078
ZC3H11A	0.4059019
RIOK2	2.1518583
YIPF1	1.3812608
CCAR1	7.7473702
OGFR	3.4291563
