	ref_hk
DPM1	4.4545274
SCYL3	1.0471328
GCLC	2.0819554
BAD	3.858191
LAP3	6.5852737
M6PR	10.553346
ALS2	0.70711696
RBM5	6.358021
ARF5	13.075299
POLDIP2	4.1909866
AK2	7.099413
RBM6	7.1421237
ST7	0.6468659
CDC27	3.7991233
HCCS	2.5434892
UPF1	2.250575
SLC25A5	26.661346
POLR2J	9.985106
DHX33	1.2042769
LIG3	1.2672852
RPAP3	3.4194512
SPPL2B	1.4832394
MSL3	5.060757
IBTK	3.5077198
ZNF195	2.0603828
FBXL3	2.8773882
PDK2	1.9918777
LAMP2	6.169156
GDE1	3.192652
RALA	7.318063
GGCT	5.4462566
IFRD1	11.776819
PAF1	4.3759036
ELAC2	2.4240518
ADIPOR2	2.7745152
MARK4	0.9520219
CCDC124	6.6667085
PAFAH1B1	9.0957155
TSR3	2.3710911
DNAJC11	1.5124302
PSMB1	19.152369
SYPL1	9.726248
SPAG9	5.522087
SS18L2	7.7892995
MPND	0.80932724
MED24	1.8333093
SEC62	21.513866
UBE3C	2.0497806
VTA1	3.7686555
BAZ1B	5.772801
METTL13	1.5973163
ZNF207	13.582539
UQCRC1	9.811224
NISCH	2.1937153
NME1-NME2	0.013351544
RNF216	3.981068
TTC19	4.017962
LARS2	0.7051596
WIZ	0.8005724
PPP5C	3.039098
ERCC1	6.558684
MBTPS2	0.71716255
EXTL3	0.66435933
UBR7	2.0089397
PSMC4	8.043346
MAN2B2	1.4969804
SLC25A39	7.648968
NUB1	5.4654956
RNF14	1.745148
HEBP1	5.218704
UFL1	4.4526596
ZC3H3	1.1793343
CAPN1	5.280597
SLC30A9	3.0292082
COX15	1.8358198
YAF2	5.224037
ZMYND11	2.974658
XYLT2	0.48238903
GLT8D1	2.7393627
ATP2C1	3.1609962
RALBP1	7.4906583
AGPS	2.362611
ZRANB1	2.002168
MNAT1	3.3289385
RNF10	7.3668213
RNH1	10.962326
RB1CC1	6.882346
ERP44	8.211279
GLRX2	2.808759
DERA	2.982896
STRAP	12.615554
GCLM	2.1801193
UBR2	4.3286757
NCAPH2	1.7675126
SEC63	6.7930965
IFNGR1	11.192554
B4GALT7	1.6712046
VRK2	2.1834002
VEZT	3.461272
BRD9	3.1997204
BCLAF1	15.121186
TFB1M	1.6696519
RABEP1	6.1360626
RANBP3	2.7344534
PNPLA6	2.4223957
ABCF2	1.4442501
PIAS1	7.0681124
GABARAPL2	16.217413
FAM136A	5.6282997
RFC1	6.9913173
TBC1D23	2.4269583
ZZZ3	2.6973534
RPL26L1	4.6204753
NSUN2	2.5641072
FBXO42	1.8059924
MFAP3	0.60464364
MRI1	1.3548772
MAT2B	9.55293
EDC4	0.8389123
PNKP	4.3870673
STAU2	2.109115
PHF23	2.0344853
PSMA4	12.742966
LSG1	2.4541185
PARP3	0.55526
THAP3	1.300103
AP2S1	15.618905
CTNNA1	5.025486
HSPA5	22.771381
GEMIN8	1.3467324
ATP6V1H	4.691057
POLR2B	5.4394126
GOPC	5.3930087
TSPAN17	0.97883165
NOP16	3.128624
MRPS10	4.4770217
FAM120A	5.6971703
VAMP3	3.562469
RFC2	3.1083539
CLPTM1L	2.8665733
JKAMP	3.5937743
LETMD1	4.2966437
MAPK9	1.447143
HERPUD1	20.532335
PIK3CB	1.5598742
SIKE1	3.8462923
TTC17	5.3279524
AKR7A2	6.007602
MRTO4	2.9807584
USE1	4.261091
AP5M1	2.2095425
TRAPPC3	6.136148
THRAP3	13.309964
PHPT1	10.595588
SDCCAG8	4.234846
TBC1D22A	3.4597175
NOP58	11.888173
SZRD1	6.1740966
CUL1	3.762355
FAM114A2	1.7197027
TAB2	3.3118284
GINM1	4.9996734
PUM2	5.2005105
MRPL43	7.7097683
ZFR	7.1595826
RC3H2	3.1885974
GDI2	18.513308
ATG5	4.76127
PITHD1	6.865932
SEC61A1	4.9336314
POLR3E	2.077246
ZC3H11A	0.9720094
RIOK2	2.6390817
YIPF1	1.7580674
CCAR1	8.097439
OGFR	4.601542
SNRNP40	5.550143
MRPS35	5.7014956
SFSWAP	4.6177797
MON2	3.5911539
GPBP1	16.363409
MRPS24	3.761433
ISOC2	4.094867
U2AF2	5.849049
EPN1	6.457387
MED29	4.080369
MTMR1	1.0432987
HAGH	3.9469502
RNF4	4.1065955
TNPO3	3.2185488
RFXANK	4.907121
TMEM161A	1.5950682
CTSA	7.172118
PMS1	2.6827097
HMG20B	4.8728995
TAF11	4.966996
AP3D1	3.9892974
ZNF76	1.5172555
OAT	4.76701
WDR3	1.5850503
WDR18	3.5436065
NDUFB4	18.941622
SPEN	5.496223
ZC3H15	13.998515
ASB1	1.4809496
TBC1D1	5.20955
CDK13	5.396863
PPP2R5A	3.4865143
ELAVL1	5.0471787
KDM4A	1.1388985
NFYC	5.3244405
ELOVL1	4.4618897
ZBTB11	3.543838
GOLGA5	2.1196015
LRRC40	1.536617
MSANTD3	0.6669193
ATG2B	1.5262475
MTFR1	0.7879646
FECH	1.9349277
IDI1	10.344703
STOML1	0.48978165
DHX29	5.635283
DNTTIP2	9.23881
RHOA	32.62271
DHX8	2.5250406
IARS2	4.6003675
IDH3G	7.211965
COASY	2.8776267
MEF2A	6.4009976
OTUD5	2.9546807
TFE3	2.0226285
INPP5A	0.68536663
GPKOW	1.8908662
GRIPAP1	3.0912426
FTSJ1	2.592652
LAPTM4A	14.184814
IP6K2	5.3913364
SIRT2	4.358745
ERLEC1	5.3732395
PPP2R5B	0.8534897
NUP133	2.0010943
NUCKS1	17.293343
DNAJA2	7.7257943
MAPK6	3.1563947
PHRF1	1.776912
DGCR2	1.4450577
RNF126	4.384234
JMJD6	5.9649
GBA2	1.2816266
NDST1	0.933625
EIF2B3	2.4990237
CDC42	23.322195
MAP4K4	5.7478747
RPL31	40.115013
WDR1	13.009412
SNX13	2.7436368
SEL1L	4.476023
ATP6AP1	7.0040355
DAZAP1	4.7525253
MBD3	1.5052956
FAM50A	4.283445
FAM3A	2.4920287
PDCD2	5.314165
PRKACA	2.7388594
ALDH3A2	2.0441434
AFF4	9.032241
SMC1A	7.05028
HSD17B10	6.799705
TRNT1	3.0877056
ACADVL	8.838176
FBXW11	3.4770043
DERL2	4.8355145
AP1M1	4.3917665
SDHA	5.623342
SMARCE1	5.95997
PICALM	5.9536247
MRPS34	10.460585
CLNS1A	10.350075
EED	2.0411162
TSG101	5.6115737
BCS1L	1.4348551
LMAN1	7.9939485
ARHGEF10L	0.20536083
EIF4G3	3.7603571
GRAMD4	0.9856224
ZNF638	7.356954
TIMM21	1.8136051
ZNF37A	1.9805903
MARK3	4.828428
SLC25A3	26.758192
TMEM131	3.505609
DLG1	2.701281
RAB7A	14.516115
BCAP29	3.9522855
SART3	2.6979306
EXOSC7	3.632903
MKRN2	1.8603318
RBM7	3.418351
PTPN23	1.2796613
MLH1	2.2787006
UNG	1.9113405
KLHL20	1.6782855
TOP2B	6.0210705
TM9SF3	5.2466283
DNAJC10	5.160086
GTF3C1	2.5530002
USP33	4.45937
SNRPA	7.577685
SIRT6	1.7720401
CAPZB	22.642725
UBE2A	8.814978
ARAF	3.200718
MCCC1	1.6070722
UBE2K	6.8426285
PIK3C3	2.5846994
PPP2R5C	10.737754
GNB1	8.611329
MLLT10	3.845853
VDAC3	8.28759
PCM1	11.287929
ITCH	4.0430107
SDF4	7.8356147
TOLLIP	3.482318
UBE2D4	1.1372254
XRCC5	16.3392
MKNK1	3.3130767
REXO1	1.6170977
SAR1A	6.9313936
CIC	1.6096658
FDFT1	7.372113
DDX1	4.467398
DNM2	4.481636
SLC35C2	2.8923
RAB21	5.2482853
SMARCA2	8.0137005
CNOT4	5.0355234
PSEN1	3.1390407
CPOX	1.3124853
DLGAP4	2.7224815
OSTM1	2.907859
EXD2	0.5818318
UBA5	2.8424659
ZNF506	2.6883683
JMJD4	0.99864346
WDR70	3.0079968
BZW1	14.226988
ME2	6.233911
MRPL22	5.8139954
GSK3B	4.0240054
XPO1	8.038536
RNF13	7.181651
TNPO1	5.047938
PLOD1	2.6871207
DIS3	3.2785163
TDRD3	1.688513
ZNF446	0.4056514
RPS5	41.969334
YTHDC1	11.142828
CHMP2B	6.0455403
PPIE	4.9649463
ZMPSTE24	2.4197931
STARD7	6.704082
NOA1	3.0840187
REST	7.156344
WBP11	7.885613
EIF3I	15.333325
TXLNA	2.3527694
NCOA1	3.6630602
RAB10	9.717389
HADHA	13.537992
CD82	5.969222
MYNN	2.6509385
PREP	1.7212523
