	ref_hk
DPM1	3.2404425
SCYL3	0.74633116
GCLC	1.8871193
BAD	6.6860676
LAP3	4.0067606
M6PR	3.5646207
ALS2	0.5626238
RBM5	4.6602993
ARF5	5.33506
POLDIP2	2.4958746
AK2	4.4758015
RBM6	4.6929765
ST7	0.7157049
CDC27	1.9114933
HCCS	1.3218071
UPF1	1.765241
SLC25A5	14.122054
POLR2J	7.174803
DHX33	0.74375355
LIG3	0.63748807
RPAP3	1.2588944
SPPL2B	2.5623426
MSL3	1.6469699
IBTK	3.9088311
ZNF195	1.0273447
FBXL3	2.055992
PDK2	1.6266905
LAMP2	4.9346642
GDE1	2.5050526
RALA	3.8782077
GGCT	3.0817072
IFRD1	5.690128
PAF1	2.0258126
ELAC2	1.0323199
ADIPOR2	3.8663602
MARK4	0.6862675
CCDC124	4.134166
PAFAH1B1	4.804886
TSR3	2.998375
DNAJC11	0.92758733
PSMB1	10.866856
SYPL1	7.023958
SPAG9	4.116567
SS18L2	4.430822
MPND	1.145673
MED24	2.076719
SEC62	15.578297
UBE3C	1.8679925
VTA1	1.7167505
BAZ1B	4.066119
METTL13	0.753074
ZNF207	6.5530324
UQCRC1	6.609724
NISCH	1.5438222
NME1-NME2	0.002018964
RNF216	1.5998847
TTC19	3.55424
LARS2	0.24593501
WIZ	0.5640123
PPP5C	1.1894766
ERCC1	2.6362848
MBTPS2	0.47953972
EXTL3	0.41230124
UBR7	0.74027485
PSMC4	3.8207495
MAN2B2	1.3276318
SLC25A39	4.219974
NUB1	3.6708941
RNF14	1.2514331
HEBP1	1.8366624
UFL1	3.4350123
ZC3H3	0.4923024
CAPN1	3.5386925
SLC30A9	2.3940735
COX15	1.3861989
YAF2	2.641746
ZMYND11	2.6807556
XYLT2	1.6056741
GLT8D1	1.6724249
ATP2C1	2.1031883
RALBP1	5.4830194
AGPS	1.5330596
ZRANB1	1.4588104
MNAT1	2.2814462
RNF10	3.6433926
RNH1	6.300996
RB1CC1	3.8410885
ERP44	5.4099517
GLRX2	1.7289531
DERA	1.7654411
STRAP	5.1465354
GCLM	1.6441057
UBR2	2.4163601
NCAPH2	1.1382627
SEC63	4.6887197
IFNGR1	3.7518191
B4GALT7	1.68214
VRK2	0.8916781
VEZT	2.0614173
BRD9	3.1367905
BCLAF1	6.5439954
TFB1M	0.8184554
RABEP1	2.074616
RANBP3	1.2445656
PNPLA6	0.9150772
ABCF2	0.7483864
PIAS1	3.1494584
GABARAPL2	9.610788
FAM136A	3.329819
RFC1	4.116858
TBC1D23	1.5578103
ZZZ3	1.4449139
RPL26L1	2.3331122
NSUN2	1.035349
FBXO42	0.8383743
MFAP3	0.22235644
MRI1	0.983649
MAT2B	2.770053
EDC4	0.04277681
PNKP	2.410627
STAU2	1.7717495
PHF23	1.4512932
PSMA4	7.8727717
LSG1	1.3051186
PARP3	0.5675269
THAP3	0.79475087
AP2S1	7.895717
CTNNA1	7.6135044
HSPA5	11.72499
GEMIN8	0.6470963
ATP6V1H	2.01622
