	ref_hk
DPM1	7.701811
SCYL3	1.1633317
GCLC	1.1152431
BAD	5.7454886
LAP3	6.9791794
M6PR	8.4540205
ALS2	0.70733553
RBM5	7.487064
ARF5	14.508603
POLDIP2	6.2270446
AK2	11.249684
RBM6	8.532517
ST7	0.5355318
CDC27	4.7227554
HCCS	2.8799372
UPF1	2.103675
SLC25A5	37.563084
POLR2J	14.359527
DHX33	1.6266348
LIG3	1.8728737
RPAP3	5.057047
SPPL2B	2.1756628
MSL3	5.4058537
IBTK	3.9352903
ZNF195	3.3547423
FBXL3	2.988522
PDK2	2.1434882
LAMP2	6.792688
GDE1	4.2470365
RALA	7.953901
GGCT	8.9889765
IFRD1	8.849852
PAF1	4.9622355
ELAC2	3.3784957
ADIPOR2	3.583506
MARK4	1.07132
CCDC124	9.3280525
PAFAH1B1	10.506863
TSR3	1.8811246
DNAJC11	2.0627186
PSMB1	25.578083
SYPL1	12.129714
SPAG9	4.799109
SS18L2	8.973347
MPND	0.6273408
MED24	2.858303
SEC62	19.948582
UBE3C	1.6033065
VTA1	5.8948903
BAZ1B	10.008428
METTL13	2.1224287
ZNF207	18.868172
UQCRC1	14.060727
NISCH	2.698774
NME1-NME2	0.09090454
RNF216	3.281849
TTC19	4.4478
LARS2	0.9731042
WIZ	0.8509351
PPP5C	4.2037272
ERCC1	8.050078
MBTPS2	0.74494445
EXTL3	0.42242083
UBR7	4.0156884
PSMC4	11.1713505
MAN2B2	1.0086433
SLC25A39	7.1275263
NUB1	6.93685
RNF14	2.3334205
HEBP1	2.8676438
UFL1	5.7316685
ZC3H3	3.0880826
CAPN1	5.1384034
SLC30A9	3.9829776
COX15	2.5125356
YAF2	7.071906
ZMYND11	2.431229
XYLT2	0.4903161
GLT8D1	3.5068412
ATP2C1	3.4676309
RALBP1	8.660307
AGPS	3.7233934
ZRANB1	1.9827007
MNAT1	5.7223973
RNF10	8.141539
RNH1	8.219595
RB1CC1	7.215433
ERP44	8.614155
GLRX2	2.4147944
DERA	4.2873383
STRAP	18.003527
GCLM	1.6585834
UBR2	3.9063463
NCAPH2	3.1092012
SEC63	9.448827
IFNGR1	5.5958123
B4GALT7	1.2684932
VRK2	1.8742161
VEZT	6.186625
BRD9	4.0225444
BCLAF1	18.006472
TFB1M	2.267783
RABEP1	6.1529636
RANBP3	4.097745
PNPLA6	1.0138428
ABCF2	2.4036481
PIAS1	7.8836703
GABARAPL2	19.247581
FAM136A	8.922703
RFC1	11.1957445
TBC1D23	2.6048925
ZZZ3	3.2157447
RPL26L1	8.801693
NSUN2	2.7589788
FBXO42	2.145556
MFAP3	0.8412577
MRI1	1.6989545
MAT2B	9.542705
EDC4	1.0594107
PNKP	6.0696716
STAU2	4.746088
PHF23	2.759595
PSMA4	21.694996
LSG1	3.1745825
PARP3	0.42282653
THAP3	2.0007513
AP2S1	17.172724
CTNNA1	2.3497176
HSPA5	20.774757
GEMIN8	2.401903
ATP6V1H	7.952608
POLR2B	7.645674
GOPC	7.423887
TSPAN17	0.557431
NOP16	4.0202417
MRPS10	7.184058
FAM120A	4.404244
VAMP3	2.4687445
RFC2	5.63738
CLPTM1L	2.9209647
JKAMP	3.438021
LETMD1	6.9504595
MAPK9	1.3072999
HERPUD1	14.012407
PIK3CB	1.3327993
SIKE1	5.0670075
TTC17	5.6759744
AKR7A2	8.5083885
MRTO4	4.5706577
USE1	6.132434
AP5M1	3.1778479
TRAPPC3	9.195988
THRAP3	18.510828
PHPT1	10.123033
SDCCAG8	6.280688
TBC1D22A	2.620091
NOP58	15.8186655
SZRD1	6.032342
CUL1	4.306834
FAM114A2	2.2646549
TAB2	2.7441852
GINM1	5.001881
PUM2	5.499371
MRPL43	9.623896
ZFR	8.175838
RC3H2	3.0105333
GDI2	22.947657
ATG5	5.4652147
PITHD1	7.7918744
SEC61A1	5.455306
POLR3E	2.190124
ZC3H11A	2.4504514
RIOK2	4.281083
YIPF1	2.0542073
CCAR1	12.930137
OGFR	3.875742
SNRNP40	10.824168
MRPS35	8.31366
SFSWAP	5.7985163
MON2	3.8546693
GPBP1	15.721122
MRPS24	5.094023
ISOC2	4.4816732
U2AF2	8.600691
EPN1	4.4389977
MED29	4.1906433
MTMR1	1.0259726
HAGH	4.4018226
RNF4	4.7740154
TNPO3	4.4439154
RFXANK	7.571381
TMEM161A	2.8750405
CTSA	3.2529006
PMS1	3.514428
HMG20B	7.855368
TAF11	6.622906
AP3D1	3.7007554
ZNF76	1.7398329
OAT	3.7902963
WDR3	2.201367
WDR18	6.85238
NDUFB4	26.789558
SPEN	5.2032065
ZC3H15	18.198036
ASB1	1.7968125
TBC1D1	3.4550195
CDK13	4.463825
PPP2R5A	2.366976
ELAVL1	8.279745
KDM4A	1.4647666
NFYC	7.247071
ELOVL1	2.8197346
ZBTB11	3.624081
GOLGA5	1.9872866
LRRC40	2.7387147
MSANTD3	0.6985908
ATG2B	1.5395693
MTFR1	0.9416156
FECH	2.1679199
IDI1	9.126071
STOML1	0.71039927
DHX29	6.940259
DNTTIP2	9.599518
RHOA	35.016926
DHX8	3.2855978
IARS2	4.5816717
IDH3G	8.742127
COASY	4.3726683
MEF2A	5.5256195
OTUD5	2.1836877
TFE3	1.1122526
INPP5A	0.48506472
GPKOW	2.3904238
GRIPAP1	2.6149518
FTSJ1	3.5096836
LAPTM4A	11.581608
IP6K2	9.370514
SIRT2	3.1103857
ERLEC1	5.210514
PPP2R5B	0.7393535
NUP133	2.9221807
NUCKS1	27.12219
DNAJA2	9.688143
MAPK6	2.8722284
